brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Abarth,124,,1.4,,RWD,Convertible,2016,2019,Brake Pad Set,Rear,DB2064,
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2009,2016,Brake Pad Set,Front,DB2219,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2009,2016,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2014,2016,Brake Pad Set,Front,DB2386,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2014,2016,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2013,2020,Brake Pad Set,Front,DB2386,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2013,2020,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500C / 595C / 695C,,1.4,,FWD,Convertible,2008,2011,Brake Pad Set,Rear,DB2381,
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2010,2016,Brake Pad Set,Rear,DB2381,
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2016,2021,Brake Pad Set,Rear,DB2381,
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2011,2016,Brake Pad Set,Front,DB2386,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2011,2016,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2016,2021,Brake Pad Set,Rear,DB2381,
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2014,,Brake Pad Set,Front,DB2386,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2014,,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2008,2016,Brake Pad Set,Front,DB2386,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2008,2016,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2008,2016,Brake Pad Set,Front,DB2219,Std. 4-Wheel Disc
Bendix,Abarth,500 / 595 / 695,,1.4,,FWD,Hatchback,2008,2016,Brake Pad Set,Rear,DB2381,Std. 4-Wheel Disc
