brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Chery,Omoda 5,,1.6,GT,AWD,SUV,2022,,Brake Pad Set,Front,DB2769,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,1.6,GT,AWD,SUV,2022,,Brake Pad Set,Rear,DB2771,Std. 4-Wheel Disc
Bendix,Chery,J11,,1.6,,FWD,SUV,2011,2014,Brake Pad Set,Front,DB1327,Std. 4-Wheel Disc
Bendix,Chery,J11,,2,,FWD,SUV,2010,2014,Brake Pad Set,Front,DB2069,Std. Brake System
Bendix,Chery,Omoda 5,,1.5,,FWD,SUV,2023,,Brake Pad Set,Front,DB2769,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,1.5,,FWD,SUV,2023,,Brake Pad Set,Rear,DB2771,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,,,FWD,SUV,2024,,Brake Pad Set,Front,DB2769,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,,,FWD,SUV,2024,,Brake Pad Set,Rear,DB2771,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,1.6,,FWD,SUV,2022,,Brake Pad Set,Front,DB2769,Std. 4-Wheel Disc
Bendix,Chery,Omoda 5,,1.6,,FWD,SUV,2022,,Brake Pad Set,Rear,DB2771,Std. 4-Wheel Disc
