brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,COMBO,SB,1.4,i,FWD,Van,1996,2001,Brake Pad Set,Front,DB1275,
BENDIX,HOLDEN,COMBO,SB,1.4,i,FWD,Van,1996,2001,Brake Shoe Set,Rear,BS1692,

BENDIX,HOLDEN,COMBO,XC,1.4,i,FWD,Van,2005,2012,Brake Pad Set,Front,DB1471,
BENDIX,HOLDEN,COMBO,XC,1.4,i,FWD,Van,2005,2012,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,COMBO,XC,1.6,i,FWD,Van,2005,2012,Brake Pad Set,Front,DB1471,
BENDIX,HOLDEN,COMBO,XC,1.6,i,FWD,Van,2005,2012,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,CRUZE,JH,1.4,i Turbo,FWD,Sedan,2011,2016,Brake Pad Set,Front,DB2051,
BENDIX,HOLDEN,CRUZE,JH,1.4,i Turbo,FWD,Sedan,2011,2016,Brake Pad Set,Rear,DB2052,

BENDIX,HOLDEN,CRUZE,YG,1.5,i,AWD,Sedan,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,CRUZE,YG,1.5,i,AWD,Sedan,2017,2020,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,CRUZE,JH,1.6,SRi,FWD,Sedan,2011,2016,Brake Pad Set,Front,DB2051,
BENDIX,HOLDEN,CRUZE,JH,1.6,SRi,FWD,Sedan,2011,2016,Brake Pad Set,Rear,DB2052,

BENDIX,HOLDEN,CRUZE,JG,1.8,i,FWD,Sedan,2009,2011,Brake Pad Set,Front,DB1808,
BENDIX,HOLDEN,CRUZE,JG,1.8,i,FWD,Sedan,2009,2011,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,CRUZE,JH,1.8,i,FWD,Sedan,2011,2016,Brake Pad Set,Front,DB2051,
BENDIX,HOLDEN,CRUZE,JH,1.8,i,FWD,Sedan,2011,2016,Brake Pad Set,Rear,DB2052,

BENDIX,HOLDEN,CRUZE,JG,2.0,DTFI,FWD,Sedan,2009,2011,Brake Pad Set,Front,DB1808,
BENDIX,HOLDEN,CRUZE,JG,2.0,DTFI,FWD,Sedan,2009,2011,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,CRUZE,JH,2.0,DTFI,FWD,Sedan,2011,2016,Brake Pad Set,Front,DB2051,
BENDIX,HOLDEN,CRUZE,JH,2.0,DTFI,FWD,Sedan,2011,2016,Brake Pad Set,Rear,DB2052,

BENDIX,HOLDEN,CRUZE,JH,2.0,,FWD,Sedan,2011,2016,Brake Pad Set,Front,DB2051,
BENDIX,HOLDEN,CRUZE,JH,2.0,,FWD,Sedan,2011,2016,Brake Pad Set,Rear,DB2052,
