brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,EJ,EJ,2.3,,RWD,Sedan,1962,1963,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,EJ,EJ,2.3,,RWD,Sedan,1962,1963,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,EH,EH,2.5,,RWD,Sedan,1963,1965,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,EH,EH,2.5,,RWD,Sedan,1963,1965,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,EH,EH,2.9,,RWD,Sedan,1963,1965,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,EH,EH,2.9,,RWD,Sedan,1963,1965,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,EPICA,EP,2.0,i,FWD,Sedan,2007,2011,Brake Pad Set,Front,DB1808,
BENDIX,HOLDEN,EPICA,EP,2.0,i,FWD,Sedan,2007,2011,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,EPICA,EP,2.0,TD,FWD,Sedan,2007,2011,Brake Pad Set,Front,DB1808,
BENDIX,HOLDEN,EPICA,EP,2.0,TD,FWD,Sedan,2007,2011,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,EPICA,EP,2.5,i,FWD,Sedan,2007,2011,Brake Pad Set,Front,DB1808,
BENDIX,HOLDEN,EPICA,EP,2.5,i,FWD,Sedan,2007,2011,Brake Pad Set,Rear,DB1511,

BENDIX,HOLDEN,EQUINOX,EQ,1.5,,FWD,SUV,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,EQUINOX,EQ,1.5,,FWD,SUV,2017,2020,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,EQUINOX,EQ,1.6,TD,AWD,SUV,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,EQUINOX,EQ,1.6,TD,AWD,SUV,2017,2020,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,EQUINOX,EQ,1.6,TD,FWD,SUV,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,EQUINOX,EQ,1.6,TD,FWD,SUV,2017,2020,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,EQUINOX,EQ,2.0,,AWD,SUV,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,EQUINOX,EQ,2.0,,AWD,SUV,2017,2020,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,EQUINOX,EQ,2.0,,FWD,SUV,2017,2020,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,EQUINOX,EQ,2.0,,FWD,SUV,2017,2020,Brake Pad Set,Rear,DB2488,
