brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,FRONTERA,UT,2.0,i,4WD,SUV,1995,1998,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,FRONTERA,UT,2.0,i,4WD,SUV,1995,1998,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,FRONTERA,UES,3.2,i,4WD,SUV,1999,2003,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,FRONTERA,UES,3.2,i,4WD,SUV,1999,2003,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,FRONTERA,UES,2.2,i,4WD,SUV,1999,2003,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,FRONTERA,UES,2.2,i,4WD,SUV,1999,2003,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,GEMINI,RB,1.5,i,RWD,Sedan,1975,1977,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,RB,1.5,i,RWD,Sedan,1975,1977,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TD,1.6,,RWD,Sedan,1978,1981,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TD,1.6,,RWD,Sedan,1978,1981,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TE,1.6,,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TE,1.6,,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TF,1.6,,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TF,1.6,,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TG,1.6,,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TG,1.6,,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TX,1.6,,RWD,Sedan,1975,1981,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TX,1.6,,RWD,Sedan,1975,1981,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TC,1.6,,RWD,Sedan,1975,1981,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TC,1.6,,RWD,Sedan,1975,1981,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TD,1.6,,RWD,Sedan,1975,1981,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TD,1.6,,RWD,Sedan,1975,1981,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TE,1.8,D,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TE,1.8,D,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TF,1.8,D,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TF,1.8,D,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,GEMINI,TG,1.8,D,RWD,Sedan,1979,1987,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,GEMINI,TG,1.8,D,RWD,Sedan,1979,1987,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,HD,HD,2.5,,RWD,Sedan,1965,1966,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HD,HD,2.5,,RWD,Sedan,1965,1966,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HG,HG,2.6,,RWD,Sedan,1968,1969,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HG,HG,2.6,,RWD,Sedan,1968,1969,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HK,HK,2.6,,RWD,Sedan,1968,1969,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HK,HK,2.6,,RWD,Sedan,1968,1969,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HR,HR,2.6,,RWD,Sedan,1966,1968,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HR,HR,2.6,,RWD,Sedan,1966,1968,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HT,HT,2.6,,RWD,Sedan,1969,1970,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HT,HT,2.6,,RWD,Sedan,1969,1970,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HJ,HJ,2.8,,RWD,Sedan,1974,1976,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HJ,HJ,2.8,,RWD,Sedan,1974,1976,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HG,HG,4.2,,RWD,Sedan,1968,1969,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HG,HG,4.2,,RWD,Sedan,1968,1969,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HJ,HJ,4.2,,RWD,Sedan,1974,1976,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HJ,HJ,4.2,,RWD,Sedan,1974,1976,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,HQ,HQ,4.2,,RWD,Sedan,1971,1974,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,HQ,HQ,4.2,,RWD,Sedan,1971,1974,Brake Shoe Set,Rear,BS1020,

