brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,INSIGNIA,GA,2.8,VXR,AWD,Sedan,2015,2017,Brake Pad Set,Front,DB2264,
BENDIX,HOLDEN,INSIGNIA,GA,2.8,VXR,AWD,Sedan,2015,2017,Brake Pad Set,Rear,DB2265,

BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.0,TD,4WD,SUV,1998,2002,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.0,TD,4WD,SUV,1998,2002,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.1,TD,4WD,SUV,1998,2002,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.1,TD,4WD,SUV,1998,2002,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.2,i,4WD,SUV,1998,2002,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.2,i,4WD,SUV,1998,2002,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.5,RS,4WD,SUV,1998,2002,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,JACKAROO MONTEREY,UBS,3.5,RS,4WD,SUV,1998,2002,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,JACKAROO,UBS,2.0,,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.0,,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,JACKAROO,UBS,2.2,D,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.2,D,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,JACKAROO,UBS,2.2,TD,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.2,TD,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,JACKAROO,UBS,2.3,,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.3,,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,JACKAROO,UBS,2.6,,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.6,,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,JACKAROO,UBS,2.8,TD,4WD,SUV,1984,1990,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,JACKAROO,UBS,2.8,TD,4WD,SUV,1984,1990,Brake Shoe Set,Rear,BS1024,
