brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,MALIBU,EM,2.0,D,FWD,Sedan,2013,2017,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,MALIBU,EM,2.0,D,FWD,Sedan,2013,2017,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,MALIBU,EM,2.4,i,FWD,Sedan,2013,2017,Brake Pad Set,Front,DB2358,
BENDIX,HOLDEN,MALIBU,EM,2.4,i,FWD,Sedan,2013,2017,Brake Pad Set,Rear,DB2488,

BENDIX,HOLDEN,MONARO,V2,3.8,,RWD,Coupe,2001,2002,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,MONARO,V2,3.8,,RWD,Coupe,2001,2002,Brake Pad Set,Rear,DB1371,

BENDIX,HOLDEN,MONARO,HZ,4.2,,RWD,Coupe,1977,1980,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,MONARO,HZ,4.2,,RWD,Coupe,1977,1980,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,MONARO,HG,5.0,,RWD,Coupe,1968,1969,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,MONARO,HG,5.0,,RWD,Coupe,1968,1969,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,MONARO,HZ,5.0,,RWD,Coupe,1977,1980,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,MONARO,HZ,5.0,,RWD,Coupe,1977,1980,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,MONARO,HG,5.7,,RWD,Coupe,1968,1969,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,MONARO,HG,5.7,,RWD,Coupe,1968,1969,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,MONARO,HT,5.7,,RWD,Coupe,1969,1970,Brake Shoe Set,Front,BS1020,
BENDIX,HOLDEN,MONARO,HT,5.7,,RWD,Coupe,1969,1970,Brake Shoe Set,Rear,BS1020,

BENDIX,HOLDEN,MONARO,V2,5.7,i V8,RWD,Coupe,2001,2005,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,MONARO,V2,5.7,i V8,RWD,Coupe,2001,2005,Brake Pad Set,Rear,DB1475,

BENDIX,HOLDEN,MONARO,VZ,5.7,i V8,RWD,Coupe,2004,2006,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,MONARO,VZ,5.7,i V8,RWD,Coupe,2004,2006,Brake Pad Set,Rear,DB1475,

BENDIX,HOLDEN,NOVA,LE,1.4,,FWD,Hatchback,1989,1994,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LE,1.4,,FWD,Hatchback,1989,1994,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LF,1.4,,FWD,Hatchback,1994,1997,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LF,1.4,,FWD,Hatchback,1994,1997,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LF,1.6,i,FWD,Hatchback,1994,1997,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LF,1.6,i,FWD,Hatchback,1994,1997,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LG,1.6,i,FWD,Hatchback,1997,2000,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LG,1.6,i,FWD,Hatchback,1997,2000,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LE,1.6,,FWD,Hatchback,1989,1994,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LE,1.6,,FWD,Hatchback,1989,1994,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LF,1.6,,FWD,Hatchback,1994,1997,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LF,1.6,,FWD,Hatchback,1994,1997,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LG,1.6,,FWD,Hatchback,1997,2000,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LG,1.6,,FWD,Hatchback,1997,2000,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LG,1.8,i,FWD,Hatchback,1997,2000,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LG,1.8,i,FWD,Hatchback,1997,2000,Brake Pad Set,Rear,DB422,

BENDIX,HOLDEN,NOVA,LF,1.8,,FWD,Hatchback,1994,1997,Brake Pad Set,Front,DB1110,
BENDIX,HOLDEN,NOVA,LF,1.8,,FWD,Hatchback,1994,1997,Brake Pad Set,Rear,DB422,
