brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,ONE TONNER,VZ,3.6,i V6,AWD,Ute,2004,2006,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,ONE TONNER,VZ,3.6,i V6,AWD,Ute,2004,2006,Brake Pad Set,Rear,DB1371,

BENDIX,HOLDEN,ONE TONNER,VZ,3.6,i V6,RWD,Ute,2004,2006,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,ONE TONNER,VZ,3.6,i V6,RWD,Ute,2004,2006,Brake Pad Set,Rear,DB1371,

BENDIX,HOLDEN,ONE TONNER,VY,3.8,i V6,RWD,Ute,2003,2004,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,ONE TONNER,VY,3.8,i V6,RWD,Ute,2003,2004,Brake Pad Set,Rear,DB1371,

BENDIX,HOLDEN,ONE TONNER,VY,5.7,i V8,RWD,Ute,2003,2004,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,ONE TONNER,VY,5.7,i V8,RWD,Ute,2003,2004,Brake Pad Set,Rear,DB1475,

BENDIX,HOLDEN,ONE TONNER,VZ,5.7,i V8,RWD,Ute,2004,2006,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,ONE TONNER,VZ,5.7,i V8,RWD,Ute,2004,2006,Brake Pad Set,Rear,DB1475,

BENDIX,HOLDEN,RODEO,KB,1.6,,4WD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,1.6,,4WD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,KB,1.6,,RWD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,1.6,,RWD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,KB,1.8,,4WD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,1.8,,4WD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,KB,1.8,,RWD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,1.8,,RWD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,KB,2.0,D,4WD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,2.0,D,4WD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,KB,2.0,D,RWD,Ute,1981,1988,Brake Pad Set,Front,DB1023,
BENDIX,HOLDEN,RODEO,KB,2.0,D,RWD,Ute,1981,1988,Brake Shoe Set,Rear,BS1024,

BENDIX,HOLDEN,RODEO,TF,2.8,TD,RWD,Ute,1988,2003,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,RODEO,TF,2.8,TD,RWD,Ute,1988,2003,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,RODEO,RA,3.0,DiTD,4WD,Ute,2003,2008,Brake Pad Set,Front,DB1482,
BENDIX,HOLDEN,RODEO,RA,3.0,DiTD,4WD,Ute,2003,2008,Brake Pad Set,Rear,DB1483,

BENDIX,HOLDEN,RODEO,RA,3.0,DiTD,RWD,Ute,2003,2008,Brake Pad Set,Front,DB1482,
BENDIX,HOLDEN,RODEO,RA,3.0,DiTD,RWD,Ute,2003,2008,Brake Pad Set,Rear,DB1483,

BENDIX,HOLDEN,RODEO,RA,3.0,TD,4WD,Ute,2003,2008,Brake Pad Set,Front,DB1482,
BENDIX,HOLDEN,RODEO,RA,3.0,TD,4WD,Ute,2003,2008,Brake Pad Set,Rear,DB1483,

BENDIX,HOLDEN,RODEO,TF,3.0,TD,4WD,Ute,1988,2003,Brake Pad Set,Front,DB1230,
BENDIX,HOLDEN,RODEO,TF,3.0,TD,4WD,Ute,1988,2003,Brake Pad Set,Rear,DB1231,

BENDIX,HOLDEN,RODEO,RA,3.0,TD,RWD,Ute,2003,2008,Brake Pad Set,Front,DB1482,
BENDIX,HOLDEN,RODEO,RA,3.0,TD,RWD,Ute,2003,2008,Brake Pad Set,Rear,DB1483,
