brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,STATESMAN,WM,3.6,i V6,RWD,Sedan,2006,2010,Brake Pad Set,Front,DB1765,
BENDIX,HOLDEN,STATESMAN,WM,3.6,i V6,RWD,Sedan,2006,2010,Brake Pad Set,Rear,DB1766,
BENDIX,HOLDEN,STATESMAN,WL,3.6,VVT V6,RWD,Sedan,2004,2006,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,STATESMAN,WL,3.6,VVT V6,RWD,Sedan,2004,2006,Brake Pad Set,Rear,DB1475,
BENDIX,HOLDEN,STATESMAN,VS,3.8,i V6 Supercharged,RWD,Sedan,1995,1997,Brake Pad Set,Front,DB1083,
BENDIX,HOLDEN,STATESMAN,VS,3.8,i V6 Supercharged,RWD,Sedan,1995,1997,Brake Pad Set,Rear,DB1082,
BENDIX,HOLDEN,STATESMAN,WH,3.8,i V6 Supercharged,RWD,Sedan,1999,2003,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,STATESMAN,WH,3.8,i V6 Supercharged,RWD,Sedan,1999,2003,Brake Pad Set,Rear,DB1371,
BENDIX,HOLDEN,STATESMAN,WK,3.8,i V6 Supercharged,RWD,Sedan,2003,2004,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,STATESMAN,WK,3.8,i V6 Supercharged,RWD,Sedan,2003,2004,Brake Pad Set,Rear,DB1371,
BENDIX,HOLDEN,STATESMAN,VQ,3.8,i V6,RWD,Sedan,1990,1993,Brake Pad Set,Front,DB1082,
BENDIX,HOLDEN,STATESMAN,VQ,3.8,i V6,RWD,Sedan,1990,1993,Brake Pad Set,Rear,DB1083,
BENDIX,HOLDEN,STATESMAN,VQ,5.0,i V8,RWD,Sedan,1990,1993,Brake Pad Set,Front,DB1082,
BENDIX,HOLDEN,STATESMAN,VQ,5.0,i V8,RWD,Sedan,1990,1993,Brake Pad Set,Rear,DB1083,
BENDIX,HOLDEN,STATESMAN,VR,5.0,i V8,RWD,Sedan,1993,1995,Brake Pad Set,Front,DB1083,
BENDIX,HOLDEN,STATESMAN,VR,5.0,i V8,RWD,Sedan,1993,1995,Brake Pad Set,Rear,DB1082,
BENDIX,HOLDEN,STATESMAN,VS,5.0,i V8,RWD,Sedan,1995,1997,Brake Pad Set,Front,DB1083,
BENDIX,HOLDEN,STATESMAN,VS,5.0,i V8,RWD,Sedan,1995,1997,Brake Pad Set,Rear,DB1082,
BENDIX,HOLDEN,STATESMAN,WB,5.0,V8,RWD,Sedan,1980,1985,Brake Pad Set,Front,DB13,
BENDIX,HOLDEN,STATESMAN,WB,5.0,V8,RWD,Sedan,1980,1985,Brake Pad Set,Rear,DB13,
BENDIX,HOLDEN,STATESMAN,WH,5.7,i V8,RWD,Sedan,1999,2003,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,STATESMAN,WH,5.7,i V8,RWD,Sedan,1999,2003,Brake Pad Set,Rear,DB1371,
BENDIX,HOLDEN,STATESMAN,WK,5.7,i V8,RWD,Sedan,2003,2004,Brake Pad Set,Front,DB1370,
BENDIX,HOLDEN,STATESMAN,WK,5.7,i V8,RWD,Sedan,2003,2004,Brake Pad Set,Rear,DB1371,
BENDIX,HOLDEN,TIGRA,XC,1.8,i4,FWD,Hatch,2005,2007,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,TIGRA,XC,1.8,i4,FWD,Hatch,2005,2007,Brake Pad Set,Rear,DB1475,
