brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,TORANA,LJ,1.2,i4,RWD,Sedan,1972,1974,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,LJ,1.2,i4,RWD,Sedan,1972,1974,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,TA,1.3,i4,RWD,Sedan,1974,1975,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,TA,1.3,i4,RWD,Sedan,1974,1975,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,LC,1.6,i4,RWD,Sedan,1971,1972,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,LC,1.6,i4,RWD,Sedan,1971,1972,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,LJ,1.6,i4,RWD,Sedan,1972,1974,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,LJ,1.6,i4,RWD,Sedan,1972,1974,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,TA,1.8,i4,RWD,Sedan,1974,1975,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,TA,1.8,i4,RWD,Sedan,1974,1975,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,LX,1.9,i4,RWD,Sedan,1976,1978,Brake Pad Set,Front,DB1028,PBR caliper
BENDIX,HOLDEN,TORANA,LX,1.9,i4,RWD,Sedan,1976,1978,Brake Pad Set,Rear,DB1028,
BENDIX,HOLDEN,TORANA,LX,2.8,i6,RWD,Sedan,1976,1978,Brake Pad Set,Front,DB1028,PBR caliper
BENDIX,HOLDEN,TORANA,LX,2.8,i6,RWD,Sedan,1976,1978,Brake Pad Set,Rear,DB1028,
BENDIX,HOLDEN,TORANA,UC,2.8,i6,RWD,Sedan,1978,1979,Brake Pad Set,Front,DB1028,PBR caliper
BENDIX,HOLDEN,TORANA,UC,2.8,i6,RWD,Sedan,1978,1979,Brake Pad Set,Rear,DB1028,
BENDIX,HOLDEN,TORANA,LJ,3.0,i6,RWD,Sedan,1972,1974,Brake Pad Set,Front,DB625,Lockheed caliper
BENDIX,HOLDEN,TORANA,LJ,3.0,i6,RWD,Sedan,1972,1974,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TORANA,LX,3.3,i6,RWD,Sedan,1976,1978,Brake Pad Set,Front,DB1028,PBR caliper
BENDIX,HOLDEN,TORANA,LX,3.3,i6,RWD,Sedan,1976,1978,Brake Pad Set,Rear,DB1028,
BENDIX,HOLDEN,TORANA,UC,3.3,i6,RWD,Sedan,1978,1979,Brake Pad Set,Front,DB1028,PBR caliper
BENDIX,HOLDEN,TORANA,UC,3.3,i6,RWD,Sedan,1978,1979,Brake Pad Set,Rear,DB1028,
BENDIX,HOLDEN,TORANA,LH,4.2,V8,RWD,Sedan,1974,1976,Brake Pad Set,Front,DB625,
BENDIX,HOLDEN,TORANA,LH,4.2,V8,RWD,Sedan,1974,1976,Brake Pad Set,Rear,DB625,
BENDIX,HOLDEN,TRAILBLAZER,RG,2.8,TDI,4WD,Wagon,2016,2020,Brake Pad Set,Front,DB1765,
BENDIX,HOLDEN,TRAILBLAZER,RG,2.8,TDI,4WD,Wagon,2016,2020,Brake Pad Set,Rear,DB1766,
BENDIX,HOLDEN,TRAX,TJ,1.4,Turbo,FWD,Wagon,2013,2016,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,TRAX,TJ,1.4,Turbo,FWD,Wagon,2013,2016,Brake Pad Set,Rear,DB1475,
BENDIX,HOLDEN,TRAX,TJ,1.8,i4,FWD,Wagon,2013,2016,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,TRAX,TJ,1.8,i4,FWD,Wagon,2013,2016,Brake Pad Set,Rear,DB1475,
