brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HOLDEN,VECTRA,JR,2.0,i4,FWD,Sedan,1997,2000,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JR,2.0,i4,FWD,Sedan,1997,2000,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,JS,2.0,i4,FWD,Sedan,2000,2003,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JS,2.0,i4,FWD,Sedan,2000,2003,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,JS,2.2,i4,FWD,Sedan,2000,2003,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JS,2.2,i4,FWD,Sedan,2000,2003,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,ZC,2.2,i4,FWD,Sedan,2002,2006,Brake Pad Set,Front,DB1665,
BENDIX,HOLDEN,VECTRA,ZC,2.2,i4,FWD,Sedan,2002,2006,Brake Pad Set,Rear,DB1665,
BENDIX,HOLDEN,VECTRA,JR,2.5,V6,FWD,Sedan,1997,2000,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JR,2.5,V6,FWD,Sedan,1997,2000,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,JS,2.5,V6,FWD,Sedan,2000,2003,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JS,2.5,V6,FWD,Sedan,2000,2003,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,JS,2.6,V6,FWD,Sedan,2000,2003,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,VECTRA,JS,2.6,V6,FWD,Sedan,2000,2003,Brake Pad Set,Rear,DB1273,
BENDIX,HOLDEN,VECTRA,ZC,3.2,V6,FWD,Sedan,2002,2006,Brake Pad Set,Front,DB1665,
BENDIX,HOLDEN,VECTRA,ZC,3.2,V6,FWD,Sedan,2002,2006,Brake Pad Set,Rear,DB1665,
BENDIX,HOLDEN,VIVA,JF,1.8,i4,FWD,Sedan,2005,2009,Brake Pad Set,Front,DB1474,
BENDIX,HOLDEN,VIVA,JF,1.8,i4,FWD,Sedan,2005,2009,Brake Pad Set,Rear,DB1475,
BENDIX,HOLDEN,VOLT,EV,,,FWD,Hatch,2012,2015,Brake Pad Set,Front,DB1896,Electric
BENDIX,HOLDEN,VOLT,EV,,,FWD,Hatch,2012,2015,Brake Pad Set,Rear,DB1897,Electric
BENDIX,HOLDEN,WB,WB,5.0,V8,RWD,Sedan,1980,1985,Brake Pad Set,Front,DB13,
BENDIX,HOLDEN,WB,WB,5.0,V8,RWD,Sedan,1980,1985,Brake Pad Set,Rear,DB13,
BENDIX,HOLDEN,ZAFIRA,TT,2.2,i4,FWD,Wagon,2001,2005,Brake Pad Set,Front,DB1351,
BENDIX,HOLDEN,ZAFIRA,TT,2.2,i4,FWD,Wagon,2001,2005,Brake Pad Set,Rear,DB1273,
