brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1391,Suits 260mm disc rotors
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,Suits 260mm disc rotors
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1391,Suits 260mm disc rotors
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,Suits 260mm disc rotors
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1393,
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1393,
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1481,Suits 282mm disc rotors
Bendix,Honda,Accord Euro,CL,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,Suits 282mm disc rotors
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1481,Suits 282mm disc rotors
Bendix,Honda,Accord Euro,CN,2.4,,FWD,Sedan,2003,2008,Brake Pad Set,Rear,DB1265,Suits 282mm disc rotors
Bendix,Honda,Accord Euro,CL,2,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1265,
Bendix,Honda,Accord Euro,CN,2,,FWD,Sedan,2003,2008,Brake Pad Set,Front,DB1265,
Bendix,Honda,Accord,CV,1.5,,FWD,Sedan,2019,,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Front,DB2118,
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Rear,DB1728,
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Front,DB2304,From 2013 on
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Rear,DB1728,From 2013 on
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Front,DB2308,From 2013 on suits 296mm disc
Bendix,Honda,Accord Euro,CU,2.4,,FWD,Sedan,2008,2015,Brake Pad Set,Rear,DB1728,From 2013 on suits 296mm disc
Bendix,Honda,Accord,CV,1.5,,FWD,Sedan,2017,,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB152,
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB152,
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB152,
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB198,With Front Sumitomo Disc
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB198,With Front Sumitomo Disc
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB198,With Front Sumitomo Disc
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB280,USA Models; With Front Disc
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB280,USA Models; With Front Disc
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB280,USA Models; With Front Disc
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB300,New Zealand Models With Front Disc
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB300,New Zealand Models With Front Disc
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB300,New Zealand Models With Front Disc
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB358,With Front Wear Indicator
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB358,With Front Wear Indicator
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB358,With Front Wear Indicator
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB384,2 & 4 Door Models
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB384,2 & 4 Door Models
Bendix,Honda,Accord,SM,1.6,L/EX,FWD,Sedan,1978,1983,Brake Pad Set,Front,DB384,2 & 4 Door Models
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB152,
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB152,
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB358,With Front Wear Indicator
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB358,With Front Wear Indicator
Bendix,Honda,Accord,SJ,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB384,2 & 4 Door Models
Bendix,Honda,Accord,SY,1.6,L/EX,FWD,Hatchback,1979,1983,Brake Pad Set,Front,DB384,2 & 4 Door Models
Bendix,Honda,Accord,CA,2,,FWD,Sedan,1987,1989,Brake Pad Set,Front,DB1133,Suits models from 1987 on
Bendix,Honda,Accord,CA,2,,FWD,Sedan,1987,1989,Brake Pad Set,Rear,DB430,Suits models from 1987 on
Bendix,Honda,Accord,CA,2,EX,FWD,Sedan,1986,1987,Brake Pad Set,Front,DB429,2 & 3 Door Models; With Front Disc With Front Disc
Bendix,Honda,Accord,CA,2,EX,FWD,Sedan,1986,1987,Brake Pad Set,Rear,DB430,2 & 3 Door Models; With Front Disc With Front Disc
Bendix,Honda,Accord,CA,2,EX,FWD,Wagon,1986,1987,Brake Pad Set,Front,DB429,2 & 3 Door Models; With Front Disc
Bendix,Honda,Accord,CA,2,EX,FWD,Wagon,1986,1987,Brake Pad Set,Rear,DB430,2 & 3 Door Models; With Front Disc
Bendix,Honda,Accord,AC,1.8,EX,FWD,Hatchback,1985,1985,Brake Pad Set,Front,DB300,With Front Disc; Australian Japan New Zealand Models
Bendix,Honda,Accord,AD,1.8,EX,FWD,Hatchback,1985,1985,Brake Pad Set,Front,DB300,With Front Disc; Australian Japan New Zealand Models
Bendix,Honda,Accord,AC,1.8,EX,FWD,Hatchback,1985,1985,Brake Pad Set,Front,DB390,Suits European and USA Models
Bendix,Honda,Accord,AD,1.8,EX,FWD,Hatchback,1985,1985,Brake Pad Set,Front,DB390,Suits European and USA Models
Bendix,Honda,Accord,AC,1.8,EX,FWD,Sedan,1984,1985,Brake Pad Set,Front,DB300,With Front Disc; Australian Japan New Zealand Models
Bendix,Honda,Accord,AD,1.8,EX,FWD,Sedan,1984,1985,Brake Pad Set,Front,DB300,With Front Disc; Australian Japan New Zealand Models
Bendix,Honda,Accord,CV,2,,FWD,Sedan,2018,,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord,CV,2,,FWD,Sedan,2018,,Brake Pad Set,Rear,DB1953,
Bendix,Honda,Accord,CA,2,EXi,FWD,Sedan,1987,1989,Brake Pad Set,Front,DB1133,2 & 3 Door Models; With Front Disc and Rear Drum
Bendix,Honda,Accord,CA,2,EXi,FWD,Sedan,1987,1989,Brake Pad Set,Front,DB429,2 & 3 Door Models; With Front and Rear Disc
Bendix,Honda,Accord,CA,2,EXi,FWD,Sedan,1987,1989,Brake Pad Set,Rear,DB430,2 & 3 Door Models; With Front and Rear Disc
Bendix,Honda,Accord,CA,2,EXi,FWD,Wagon,1987,1989,Brake Pad Set,Front,DB1133,2 & 3 Door Models; With Front Disc and Rear Drum
Bendix,Honda,Accord,CA,2,EXi,FWD,Wagon,1987,1989,Brake Pad Set,Front,DB429,2 & 3 Door Models; With Front and Rear Disc
Bendix,Honda,Accord,CA,2,EXi,FWD,Wagon,1987,1989,Brake Pad Set,Rear,DB430,2 & 3 Door Models; With Front and Rear Disc
Bendix,Honda,Accord,CR,2,,FWD,Sedan,2013,2016,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord,CR,2,,FWD,Sedan,2013,2016,Brake Pad Set,Rear,DB1953,
Bendix,Honda,Accord,CU,2,,FWD,Sedan,2013,2016,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord,CU,2,,FWD,Sedan,2013,2016,Brake Pad Set,Rear,DB1953,
Bendix,Honda,Accord,CB,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Front,DB1172,With Front 260mm Disc
Bendix,Honda,Accord,CB,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Rear,DB1265,With Front 260mm Disc
Bendix,Honda,Accord,CC,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Front,DB1172,With Front 260mm Disc
Bendix,Honda,Accord,CC,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Rear,DB1265,With Front 260mm Disc
Bendix,Honda,Accord,CB,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Front,DB1206,Aerodeck; With Front 282mm Disc
Bendix,Honda,Accord,CB,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Rear,DB1265,Aerodeck; With Front 282mm Disc
Bendix,Honda,Accord,CC,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Front,DB1206,Aerodeck; With Front 282mm Disc
Bendix,Honda,Accord,CC,2.2,,FWD,Wagon,1992,1993,Brake Pad Set,Rear,DB1265,Aerodeck; With Front 282mm Disc
Bendix,Honda,Accord,CV,2,,FWD,Sedan,2019,,Brake Pad Set,Front,DB2304,
Bendix,Honda,Accord,CV,2,,FWD,Sedan,2019,,Brake Pad Set,Rear,DB1953,
Bendix,Honda,Accord,CB,2.2,,FWD,Sedan,1989,1990,Brake Pad Set,Front,DB1172,With Front 260mm Disc
Bendix,Honda,Accord,CB,2.2,,FWD,Sedan,1989,1990,Brake Pad Set,Rear,DB1265,With Front 260mm Disc
Bendix,Honda,Accord,CB,2.2,,FWD,Sedan,1989,1990,Brake Pad Set,Front,DB1279,Suits VTEC models with 282mm disc rotors
Bendix,Honda,Accord,CB,2.2,,FWD,Sedan,1989,1990,Brake Pad Set,Rear,DB1265,Suits VTEC models with 282mm disc rotors
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1172,With Front Disc
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,With Front Disc
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1172,With Front Disc
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,With Front Disc
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1191,
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1191,
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1206,
Bendix,Honda,Accord,CC,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1206,
Bendix,Honda,Accord,CD,2.2,VTi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1230,
Bendix,Honda,Accord,CE,2.2,,FWD,Wagon,1993,1997,Brake Pad Set,Front,DB1191,Suits models with front 260mm disc rotors
Bendix,Honda,Accord,CE,2.2,,FWD,Wagon,1993,1997,Brake Pad Set,Rear,DB1265,Suits models with front 260mm disc rotors
Bendix,Honda,Accord,CE,2.2,,FWD,Wagon,1993,1997,Brake Pad Set,Front,DB1206,Suits front 282mm disc rotors
Bendix,Honda,Accord,CE,2.2,,FWD,Wagon,1993,1997,Brake Pad Set,Rear,DB1265,Suits front 282mm disc rotors
Bendix,Honda,Accord,CC,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1172,With Front Disc
Bendix,Honda,Accord,CC,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1265,With Front Disc
Bendix,Honda,Accord,CD,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1172,With Front Disc
Bendix,Honda,Accord,CD,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1265,With Front Disc
Bendix,Honda,Accord,CC,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1191,
Bendix,Honda,Accord,CC,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1265,
Bendix,Honda,Accord,CD,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Front,DB1191,
Bendix,Honda,Accord,CD,2.2,EXi,FWD,Sedan,1993,1997,Brake Pad Set,Rear,DB1265,
Bendix,Honda,Accord,CE,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Front,DB1191,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CE,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Rear,DB1265,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CF,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Front,DB1191,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CF,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Rear,DB1265,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CD,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Front,DB1191,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CD,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Rear,DB1265,Suits models with 260mm disc rotors
Bendix,Honda,Accord,CE,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Front,DB1206,With Front 282mm Disc
Bendix,Honda,Accord,CE,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Rear,DB1265,With Front 282mm Disc
Bendix,Honda,Accord,CF,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Front,DB1206,With Front 282mm Disc
Bendix,Honda,Accord,CF,2.2,,FWD,Sedan,1995,1996,Brake Pad Set,Rear,DB1265,With Front 282mm Disc
