brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
BENDIX,HONDA,JAZZ,GD,1.3,Hybrid,FWD,Hatch,2011,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GD,1.3,Hybrid,FWD,Hatch,2011,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GE,1.3,Hybrid,FWD,Hatch,2011,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GE,1.3,Hybrid,FWD,Hatch,2011,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GD,1.3,i-DSI,FWD,Hatch,2002,2008,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GD,1.3,i-DSI,FWD,Hatch,2002,2008,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GE,1.3,i-DSI,FWD,Hatch,2002,2008,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GE,1.3,i-DSI,FWD,Hatch,2002,2008,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GD,1.5,VTEC,FWD,Hatch,2002,2008,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GD,1.5,VTEC,FWD,Hatch,2002,2008,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GE,1.5,VTEC,FWD,Hatch,2002,2008,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GE,1.5,VTEC,FWD,Hatch,2002,2008,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GE,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GE,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GG,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GG,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GP,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GP,1.3,i4,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GE,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GE,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GG,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GG,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GP,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Front,DB1262,
BENDIX,HONDA,JAZZ,GP,1.5,VTEC,FWD,Hatch,2008,2014,Brake Pad Set,Rear,DB1230,
BENDIX,HONDA,JAZZ,GK,1.5,i4,FWD,Hatch,2014,2021,Brake Pad Set,Front,DB1991,
BENDIX,HONDA,JAZZ,GK,1.5,i4,FWD,Hatch,2014,2021,Brake Pad Set,Rear,DB1992,
BENDIX,HONDA,JAZZ,GP,1.5,i4,FWD,Hatch,2014,2021,Brake Pad Set,Front,DB1991,
BENDIX,HONDA,JAZZ,GP,1.5,i4,FWD,Hatch,2014,2021,Brake Pad Set,Rear,DB1992,
