brand,make,model,series,engine,trim,body,year_from,year_to,category,position,part_number,notes
Bendix,HSV,Astra,LD,1.8,SV 1800,Hatchback,1987,1989,Brake Pad Set,Front,DB1117,Length 115mm
Bendix,HSV,Clubsport,VN,LB9 5.0,,Sedan,1989,1991,Brake Pad Set,Front,DB1085,Standard Option; With Front 327mm Single Piston only; Standard Option; With Rear 278mm Single Piston only
Bendix,HSV,Clubsport,VN,LB9 5.0,,Sedan,1989,1991,Brake Pad Set,Rear,DB1086,Standard Option; With Front 327mm Single Piston only; Standard Option; With Rear 278mm Single Piston only
Bendix,HSV,Clubsport,VN,LB9 5.0,,Sedan,1989,1991,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 327mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VN,LB9 5.0,,Sedan,1989,1991,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 327mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VP,LB9 5.0,,Sedan,1991,1993,Brake Pad Set,Front,DB1085,Standard Option; With Front 327mm Single Piston only; Standard Option; With Rear 278mm Single Piston only
Bendix,HSV,Clubsport,VP,LB9 5.0,,Sedan,1991,1993,Brake Pad Set,Rear,DB1086,Standard Option; With Front 327mm Single Piston only; Standard Option; With Rear 278mm Single Piston only
Bendix,HSV,Clubsport,VP,LB9 5.0,,Sedan,1991,1993,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 327mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VP,LB9 5.0,,Sedan,1991,1993,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 327mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Sedan,1993,1995,Brake Pad Set,Front,DB1085,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Sedan,1993,1995,Brake Pad Set,Rear,DB1086,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Sedan,1993,1995,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Sedan,1993,1995,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Wagon,1993,1995,Brake Pad Set,Front,DB1085,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Wagon,1993,1995,Brake Pad Set,Rear,DB1086,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Wagon,1993,1995,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VR,LB9 5.0,,Wagon,1993,1995,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Sedan,1995,1997,Brake Pad Set,Front,DB1085,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Sedan,1995,1997,Brake Pad Set,Rear,DB1086,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Sedan,1995,1997,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Sedan,1995,1997,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Wagon,1995,1997,Brake Pad Set,Front,DB1085,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Wagon,1995,1997,Brake Pad Set,Rear,DB1086,Standard Option; With Front 328mm Single Piston only; Standard Option; With Rear 279mm Single Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Wagon,1995,1997,Brake Pad Set,Front,DB1353,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VS,LB9 5.0,,Wagon,1995,1997,Brake Pad Set,Rear,DB1354,Upgrade Option; With Front 328mm Twin Piston only; Upgrade Option; With Rear 280mm Twin Piston only
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Front,DB1353,Standard Option; With Front 330mm Twin Piston only; Standard Option; With Rear 315mm Twin Piston only
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Rear,DB1354,Standard Option; With Front 330mm Twin Piston only; Standard Option; With Rear 315mm Twin Piston only
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Front,DB1355,Upgrade Option; With Front 343mm 4-pot Harrop Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Rear,DB1356,Upgrade Option; With Front 343mm 4-pot Harrop Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Front,DB1868,Suits 2 POT PBR Caliper; Standard Option; With Rear 315mm Twin Piston only
Bendix,HSV,Clubsport,VT,LB9 5.0,,Sedan,1997,1999,Brake Pad Set,Rear,DB1354,Suits 2 POT PBR Caliper; Standard Option; With Rear 315mm Twin Piston only
Bendix,HSV,Clubsport,VT,LS1 5.7,,Sedan,1999,2000,Brake Pad Set,Front,DB1355,Upgrade Option; With Front 343mm 4-pot Harrop Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
Bendix,HSV,Clubsport,VT,LS1 5.7,,Sedan,1999,2000,Brake Pad Set,Rear,DB1356,Upgrade Option; With Front 343mm 4-pot Harrop Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
Bendix,HSV,Clubsport,VT,LS1 5.7,,Sedan,1999,2000,Brake Pad Set,Front,DB1868,Suits 2 POT PBR Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
Bendix,HSV,Clubsport,VT,LS1 5.7,,Sedan,1999,2000,Brake Pad Set,Rear,DB1356,Suits 2 POT PBR Caliper; Upgrade Option; With Rear 315mm 4-pot Harrop Caliper
