brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Front,BR2893,Other Products
Bendix,Hyundai,Accent,RB,1.4,,FWD,Hatchback,2015,2019,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,RB,1.4,,FWD,Sedan,2010,2017,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Sedan,2010,2017,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.4,,FWD,Sedan,2010,2017,Brake Pad Set,Front,BR2893,Other Products
Bendix,Hyundai,Accent,RB,1.4,,FWD,Sedan,2010,2017,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,LC,1.5,,FWD,Hatchback,2000,2003,Brake Pad Set,Front,DB1252,Std. Front Disc / Rear Drum Brake
Bendix,Hyundai,Accent,LC,1.5,,FWD,Hatchback,2000,2003,Brake Shoe Set,Park Brake,BS1779,Std. Front Disc / Rear Drum Brake
Bendix,Hyundai,Accent,LC,1.5,,FWD,Hatchback,2000,2002,Brake Pad Set,Front,DB1252,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2012,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2012,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2012,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2017,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2017,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2017,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2019,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2019,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Hatchback,2011,2019,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2019,Brake Pad Set,Front,DB2272,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2019,Brake Pad Set,Rear,DB2076,Std. 4-Wheel Disc
Bendix,Hyundai,Accent,RB,1.6,,FWD,Sedan,2010,2019,Brake Pad Set,Rear,BR2477,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Pad Set,Front,DB1252,Std. Front Disc / Rear Drum Brake
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Pad Set,Rear,BR2453,Std. Front Disc / Rear Drum Brake
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Shoe Set,Park Brake,BS1779,Std. Front Disc / Rear Drum Brake
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Pad Set,Front,BR6022,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Pad Set,Rear,BR2453,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Hatchback,2006,2009,Brake Shoe Set,Park Brake,BS1779,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Pad Set,Front,DB1252,Std. Brake System
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Pad Set,Rear,DB1943,Std. Brake System
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Shoe Set,Park Brake,BS1779,Std. Brake System
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Pad Set,Front,BR6022,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Pad Set,Rear,BR2453,Other Products
Bendix,Hyundai,Accent,MC,1.6,GLS,FWD,Sedan,2006,2009,Brake Shoe Set,Park Brake,BS1779,Other Products
