brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Mazda,121,DA,1.3,,FWD,Hatchback,1987,1991,Brake Pad Set,Front,DB442,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,121 Metro,DW,1.3,,FWD,Hatchback,1996,2000,Brake Pad Set,Front,DB1335,Std. Brake System
Bendix,Mazda,121,DB,1.5,,FWD,Sedan,1994,1997,Brake Pad Set,Front,DB1158,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,121,DB,1.3,,FWD,Sedan,1990,1997,Brake Pad Set,Front,DB1158,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,121 Metro,DW,1.5,,FWD,Hatchback,1996,2002,Brake Pad Set,Front,DB1335,Std. Brake System
Bendix,Mazda,2,DE,1.5,,FWD,Hatchback,2007,2014,Brake Pad Set,Front,DB1941,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DH,1.5,,FWD,Hatchback,2007,2014,Brake Pad Set,Front,DB1941,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DL,1.5,,FWD,Hatchback,2014,2019,Brake Pad Set,Front,DB2334,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DJ,1.5,,FWD,Hatchback,2014,2019,Brake Pad Set,Front,DB2334,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DL,1.5,,FWD,Hatchback,2014,,Brake Pad Set,Front,DB2334,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DJ,1.5,,FWD,Hatchback,2014,,Brake Pad Set,Front,DB2334,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DE,1.5,,FWD,Sedan,2010,2014,Brake Pad Set,Front,DB1941,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DY,1.5,,FWD,Hatchback,2003,2007,Brake Pad Set,Front,DB1724,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,2,DL,1.5,,FWD,Sedan,2015,2019,Brake Pad Set,Front,DB2334,Std. Brake System
Bendix,Mazda,2,DL,1.5,,FWD,Sedan,2015,,Brake Pad Set,Front,DB2334,Std. Brake System
Bendix,Mazda,323 Astina,BG,1.6,,FWD,Hatchback,1991,1994,Brake Pad Set,Front,DB1158,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.6,,FWD,Hatchback,1991,1994,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BJ,1.6,Astina,FWD,Hatchback,1998,2002,Brake Pad Set,Front,DB1255,Other Products
Bendix,Mazda,323 Astina,BJ,1.6,Astina,FWD,Hatchback,1998,2002,Brake Pad Set,Rear,DB1359,Other Products
Bendix,Mazda,323 Astina,BA,1.8,,FWD,Hatchback,1994,1998,Brake Pad Set,Front,DB1177,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BA,1.8,,FWD,Hatchback,1994,1998,Brake Pad Set,Rear,DB1291,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.6,,FWD,Hatchback,1989,1991,Brake Pad Set,Front,DB1158,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.6,,FWD,Hatchback,1989,1991,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BJ,1.6,,FWD,Hatchback,1998,2002,Brake Pad Set,Front,DB1358,Std. Brake System
Bendix,Mazda,323 Astina,BJ,1.6,,FWD,Hatchback,1998,2002,Brake Pad Set,Rear,DB417,Std. Brake System
Bendix,Mazda,323 Astina,BA,2,,FWD,Hatchback,1994,1998,Brake Pad Set,Front,DB1177,Other Products
Bendix,Mazda,323 Astina,BJ,1.8,Astina,FWD,Hatchback,1998,2004,Brake Pad Set,Front,DB1362,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BJ,1.8,Astina,FWD,Hatchback,1998,2004,Brake Pad Set,Rear,DB1359,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BA,1.8,,FWD,Coupe,1994,1998,Brake Pad Set,Front,DB1177,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BA,1.8,,FWD,Coupe,1994,1998,Brake Pad Set,Rear,DB1291,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.8,,FWD,Hatchback,1989,1994,Brake Pad Set,Front,DB1158,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.8,,FWD,Hatchback,1989,1994,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.8,GT,FWD,Hatchback,1989,1994,Brake Pad Set,Front,DB1158,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BG,1.8,GT,FWD,Hatchback,1989,1994,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323 Protege,BJ,1.6,,FWD,Sedan,1998,2003,Brake Pad Set,Front,DB1358,Other Products
Bendix,Mazda,323 Protege,BJ,1.6,,FWD,Sedan,1998,2003,Brake Pad Set,Rear,DB1359,Other Products
Bendix,Mazda,323 Protege,BA,1.8,,FWD,Sedan,1994,1998,Brake Pad Set,Front,DB1177,Std. 4-Wheel Disc
Bendix,Mazda,323 Protege,BA,1.8,,FWD,Sedan,1994,1998,Brake Pad Set,Rear,DB1291,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BJ,2,,FWD,Hatchback,2000,2004,Brake Pad Set,Front,DB1362,Std. 4-Wheel Disc
Bendix,Mazda,323 Astina,BJ,2,,FWD,Hatchback,2000,2004,Brake Pad Set,Rear,DB1359,Std. 4-Wheel Disc
Bendix,Mazda,323 Protege,BJ,1.8,,FWD,Sedan,1998,2004,Brake Pad Set,Front,DB1362,Std. 4-Wheel Disc
Bendix,Mazda,323 Protege,BJ,1.8,,FWD,Sedan,1998,2004,Brake Pad Set,Rear,DB1359,Std. 4-Wheel Disc
Bendix,Mazda,323 Protege,BJ,2,,FWD,Sedan,2001,2004,Brake Pad Set,Front,DB1255,Other Products
Bendix,Mazda,323 Protege,BJ,2,,FWD,Sedan,2001,2004,Brake Pad Set,Rear,DB1359,Other Products
Bendix,Mazda,323,FA,1.3,,RWD,Hatchback,1977,1980,Brake Pad Set,Front,DB153,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,BD,1.5,,FWD,Hatchback,1981,1985,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,BD,1.5,,FWD,Sedan,1981,1985,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,BD,1.5,,FWD,Hatchback,1980,1985,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,FA,1.5,,RWD,Wagon,1982,1985,Brake Pad Set,Front,DB153,Std. Brake System
Bendix,Mazda,323,BF,1.5,,FWD,Sedan,1985,1989,Brake Pad Set,Front,DB406,Std. 4-Wheel Disc
Bendix,Mazda,323,BF,1.5,,FWD,Sedan,1985,1989,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323,FA,1.4,,RWD,Hatchback,1978,1981,Brake Pad Set,Front,DB153,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,FA,1.4,,RWD,Wagon,1978,1982,Brake Pad Set,Front,DB153,Std. Brake System
Bendix,Mazda,323,BF,1.6,,FWD,Hatchback,1985,1989,Brake Pad Set,Front,DB406,Std. 4-Wheel Disc
Bendix,Mazda,323,BF,1.6,,FWD,Hatchback,1985,1989,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323,BG,1.6,,FWD,Sedan,1989,1991,Brake Pad Set,Front,DB1158,Other Products
Bendix,Mazda,323,BG,1.6,,FWD,Sedan,1989,1991,Brake Pad Set,Rear,DB1159,Other Products
Bendix,Mazda,323,BF,1.6,GLX,FWD,Sedan,1985,1989,Brake Pad Set,Front,DB406,Std. 4-Wheel Disc
Bendix,Mazda,323,BF,1.6,GLX,FWD,Sedan,1985,1989,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323,BG,1.6,,FWD,Sedan,1989,1996,Brake Pad Set,Front,DB1158,Std. Brake System
Bendix,Mazda,323,BG,1.6,,FWD,Sedan,1989,1996,Brake Pad Set,Rear,DB1159,Std. Brake System
Bendix,Mazda,323,BW,1.6,,FWD,Wagon,1986,1989,Brake Pad Set,Front,DB406,Std. Brake System
Bendix,Mazda,323,BW,1.6,,FWD,Wagon,1986,1989,Brake Pad Set,Rear,DB1159,Std. Brake System
Bendix,Mazda,3,BK,2,,FWD,Hatchback,2003,2006,Brake Pad Set,Front,DB1679,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Hatchback,2003,2006,Brake Pad Set,Rear,DB1763,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Sedan,2003,2006,Brake Pad Set,Front,DB1679,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Sedan,2003,2006,Brake Pad Set,Rear,DB1763,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Hatchback,2006,2009,Brake Pad Set,Front,DB1679,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Hatchback,2006,2009,Brake Pad Set,Rear,DB1763,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Sedan,2006,2009,Brake Pad Set,Front,DB1679,Std. 4-Wheel Disc
Bendix,Mazda,3,BK,2,,FWD,Sedan,2006,2009,Brake Pad Set,Rear,DB1763,Std. 4-Wheel Disc
Bendix,Mazda,323,BF,1.6,GT,FWD,Hatchback,1987,1989,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,BF,1.6,GT,AWD,Hatchback,1987,1989,Brake Pad Set,Front,DB406,Std. 4-Wheel Disc
Bendix,Mazda,323,BF,1.6,GT,AWD,Hatchback,1987,1989,Brake Pad Set,Rear,DB1159,Std. 4-Wheel Disc
Bendix,Mazda,323,BG,1.8,,FWD,Sedan,1989,1994,Brake Pad Set,Front,DB1158,Std. Brake System
Bendix,Mazda,323,BG,1.8,,FWD,Sedan,1989,1994,Brake Pad Set,Rear,DB1159,Std. Brake System
Bendix,Mazda,323,BG,1.8,,FWD,Sedan,1989,1991,Brake Pad Set,Front,DB1158,Other Products
Bendix,Mazda,323,BG,1.8,,FWD,Sedan,1989,1991,Brake Pad Set,Rear,DB1159,Other Products
Bendix,Mazda,323,BF,1.6,GT,FWD,Hatchback,1987,1989,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,323,BF,1.6,GT,FWD,Sedan,1985,1989,Brake Pad Set,Front,DB241,Std. Front Disc / Rear Drum Brake
Bendix,Mazda,3,BM,2,,FWD,Sedan,2014,2019,Brake Pad Set,Front,DB2330,Other Products
Bendix,Mazda,3,BM,2,,FWD,Sedan,2014,2019,Brake Pad Set,Rear,DB2331,Other Products
Bendix,Mazda,3,BN,2,,FWD,Sedan,2014,2019,Brake Pad Set,Front,DB2330,Other Products
Bendix,Mazda,3,BN,2,,FWD,Sedan,2014,2019,Brake Pad Set,Rear,DB2331,Other Products
Bendix,Mazda,3,BP,2,,FWD,Hatchback,2018,,Brake Pad Set,Front,DB2538,Std. 4-Wheel Disc
Bendix,Mazda,3,BP,2,,FWD,Hatchback,2018,,Brake Pad Set,Rear,DB2539,Std. 4-Wheel Disc
Bendix,Mazda,3,BP,2,,FWD,Sedan,2018,,Brake Pad Set,Front,DB2538,Std. 4-Wheel Disc
Bendix,Mazda,3,BP,2,,FWD,Sedan,2018,,Brake Pad Set,Rear,DB2539,Std. 4-Wheel Disc
Bendix,Mazda,3,BM,2,,FWD,Hatchback,2013,2019,Brake Pad Set,Front,DB2330,Std. 4-Wheel Disc
Bendix,Mazda,3,BM,2,,FWD,Hatchback,2013,2019,Brake Pad Set,Rear,DB2331,Std. 4-Wheel Disc
Bendix,Mazda,3,BN,2,,FWD,Hatchback,2013,2019,Brake Pad Set,Front,DB2330,Std. 4-Wheel Disc
Bendix,Mazda,3,BN,2,,FWD,Hatchback,2013,2019,Brake Pad Set,Rear,DB2331,Std. 4-Wheel Disc
Bendix,Mazda,3,BM,2,,FWD,Sedan,2013,2019,Brake Pad Set,Front,DB2330,Std. 4-Wheel Disc
Bendix,Mazda,3,BM,2,,FWD,Sedan,2013,2019,Brake Pad Set,Rear,DB2331,Std. 4-Wheel Disc
