brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2,200 T,RWD,Wagon,1980,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,C123,2.3,230 CE,RWD,Coupe,1980,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,C123,2.3,230 CE,RWD,Coupe,1980,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,C123,2.3,230 CE,RWD,Coupe,1980,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 TE,RWD,Wagon,1980,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 TE,RWD,Wagon,1980,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 TE,RWD,Wagon,1980,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230 E,RWD,Sedan,1981,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230 E,RWD,Sedan,1981,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230 E,RWD,Sedan,1981,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 T,RWD,Wagon,1977,1980,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 T,RWD,Wagon,1977,1980,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.3,230 T,RWD,Wagon,1977,1980,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.5,250,RWD,Sedan,1976,1978,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.5,250,RWD,Sedan,1976,1978,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.5,250,RWD,Sedan,1976,1978,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230,RWD,Sedan,1976,1981,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230,RWD,Sedan,1976,1981,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.3,230,RWD,Sedan,1976,1981,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.4,240,RWD,Sedan,1980,1982,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.4,240,RWD,Sedan,1980,1982,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.4,240,RWD,Sedan,1980,1982,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1977,1979,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1977,1979,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1977,1979,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1979,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1979,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.4,240 T,RWD,Wagon,1979,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1982,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1982,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1982,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1979,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1979,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.5,250 T,RWD,Wagon,1978,1979,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,C123,2.7,280 CE,RWD,Coupe,1977,1985,Brake Pad Set,Front,DB143,Other Products
Bendix,Mercedes-Benz,123,C123,2.7,280 CE,RWD,Coupe,1977,1985,Brake Pad Set,Rear,DB2,Other Products
Bendix,Mercedes-Benz,123,S123,2.7,280 TE,RWD,Wagon,1977,1985,Brake Pad Set,Front,DB143,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.7,280 TE,RWD,Wagon,1977,1985,Brake Pad Set,Rear,DB2,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.7,280 TE,RWD,Wagon,1977,1985,Brake Shoe Set,Park Brake,BS1630,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,S123,2.9,300 T,RWD,Wagon,1979,1985,Brake Pad Set,Front,DB143,Other Products
Bendix,Mercedes-Benz,123,S123,2.9,300 T,RWD,Wagon,1979,1985,Brake Pad Set,Rear,DB2,Other Products
Bendix,Mercedes-Benz,123,W123,2.7,280 E,RWD,Sedan,1976,1985,Brake Pad Set,Front,DB143,Other Products
Bendix,Mercedes-Benz,123,W123,2.7,280 E,RWD,Sedan,1976,1985,Brake Pad Set,Rear,DB2,Other Products
Bendix,Mercedes-Benz,123,W123,2.9,300,RWD,Sedan,1976,1980,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
Bendix,Mercedes-Benz,123,W123,2.9,300,RWD,Sedan,1979,1985,Brake Pad Set,Front,DB243,Std. 4-Wheel Disc
