brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1988,1992,Brake Pad Set,Front,DB1117,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1988,1992,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1988,1992,Brake Pad Set,Front,DB1117,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1988,1992,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1988,1992,Brake Pad Set,Front,DB1117,Other Products
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1989,1992,Brake Pad Set,Front,DB1117,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,1.8,,RWD,Coupe,1989,1992,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,2.0,,RWD,Coupe,1991,1994,Brake Pad Set,Front,DB1232,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,2.0,,RWD,Coupe,1991,1994,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,2.0,,RWD,Coupe,1991,1994,Brake Pad Set,Front,DB1232,Std. 4-Wheel Disc
Bendix,Nissan,180SX,S13,2.0,,RWD,Coupe,1991,1994,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,280ZX,HGS130,2.8,,RWD,Coupe,1978,1984,Brake Pad Set,Front,DB215,Std. 4-Wheel Disc
Bendix,Nissan,280ZX,HGS130,2.8,,RWD,Coupe,1978,1984,Brake Pad Set,Rear,DB228,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z31,3.0,,RWD,Targa,1987,1990,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z32,3.0,,RWD,Coupe,1990,1997,Brake Pad Set,Front,DB1170,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z32,3.0,,RWD,Coupe,1990,1997,Brake Pad Set,Rear,DB1220,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z32,3.0,,RWD,Coupe,1989,1997,Brake Pad Set,Front,DB1170,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z32,3.0,,RWD,Coupe,1989,1997,Brake Pad Set,Rear,DB1220,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z31,3.0,,RWD,Targa,1984,1987,Brake Pad Set,Front,DB382,Std. 4-Wheel Disc
Bendix,Nissan,300ZX,Z31,3.0,,RWD,Targa,1984,1987,Brake Pad Set,Rear,DB325,Std. 4-Wheel Disc
Bendix,Nissan,350Z,Z33,3.5,,RWD,Convertible,2003,2007,Brake Pad Set,Front,DB1232,Std. 4-Wheel Disc
Bendix,Nissan,350Z,Z33,3.5,,RWD,Convertible,2003,2007,Brake Pad Set,Rear,DB1509,Std. 4-Wheel Disc
Bendix,Nissan,350Z,Z33,3.5,,RWD,Convertible,2003,2007,Brake Pad Set,Front,DB1520,Std. 4-Wheel Disc - Brembo Caliper
Bendix,Nissan,350Z,Z33,3.5,,RWD,Convertible,2003,2007,Brake Pad Set,Rear,DB1509,Std. 4-Wheel Disc - Brembo Caliper
Bendix,Nissan,350Z,Z33,3.5,,RWD,Convertible,2003,2007,Brake Pad Set,Rear,DB2340,Other Products
Bendix,Nissan,350Z,Z33,3.5,,RWD,Coupe,2002,2007,Brake Pad Set,Front,DB1232,Std. 4-Wheel Disc
Bendix,Nissan,350Z,Z33,3.5,,RWD,Coupe,2002,2007,Brake Pad Set,Rear,DB1509,Std. 4-Wheel Disc
