brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2012,2021,Brake Pad Set,Front,DB1491,Std. 4-Wheel Disc
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2012,2021,Brake Pad Set,Rear,DB1521,Std. 4-Wheel Disc
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2012,2021,Brake Pad Set,Front,BR650,Other Products
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2012,2021,Brake Pad Set,Rear,DB1521,Bendix Brake Upgrade Kits
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2016,2021,Brake Pad Set,Rear,DB1521,Bendix Brake Upgrade Kits
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2016,2021,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Subaru,BRZ,Z1,2.0,,RWD,Coupe,2016,2021,Brake Pad Set,Rear,DB1521,Std. 4-Wheel Disc
Bendix,Subaru,Crosstrek,GU,2.0,,AWD,SUV,2023,,Brake Pad Set,Front,DB2480,Std. 4-Wheel Disc
Bendix,Subaru,Crosstrek,GU,2.0,,AWD,SUV,2023,,Brake Pad Set,Rear,DB2398,Std. 4-Wheel Disc
Bendix,Subaru,Crosstrek,GU,2.0,,AWD,SUV,2023,,Brake Pad Set,Front,DB2480,Std. 4-Wheel Disc
Bendix,Subaru,Crosstrek,GU,2.0,,AWD,SUV,2023,,Brake Pad Set,Rear,DB2398,Std. 4-Wheel Disc
Bendix,Subaru,Fiori,,0.8,,FWD,Hatchback,1989,1992,Brake Pad Set,Front,DB1160,Std. Front Disc / Rear Drum Brake
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,1997,2000,Brake Pad Set,Front,DB1342,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,1997,2000,Brake Pad Set,Rear,DB1379,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,1997,2000,Brake Pad Set,Front,BR648,Other Products
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,1997,2000,Brake Pad Set,Rear,DB1379,Other Products
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Front,DB1170,Std. 4-Wheel Disc - Subaru Caliper
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Rear,DB1379,Std. 4-Wheel Disc - Subaru Caliper
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Front,DB1342,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Rear,DB1379,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Front,BR648,Other Products
Bendix,Subaru,Forester,SF,2.0,,AWD,SUV,2000,2002,Brake Pad Set,Rear,DB1379,Other Products
Bendix,Subaru,Forester,SG,2.0,,AWD,SUV,2002,2008,Brake Pad Set,Front,DB1491,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SG,2.0,,AWD,SUV,2002,2008,Brake Pad Set,Rear,DB1379,Std. 4-Wheel Disc
Bendix,Subaru,Forester,S11SG,2.0,,AWD,SUV,2002,2008,Brake Pad Set,Front,DB1491,Std. 4-Wheel Disc
Bendix,Subaru,Forester,S11SG,2.0,,AWD,SUV,2002,2008,Brake Pad Set,Rear,DB1379,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SH,2.0,,AWD,SUV,2008,2013,Brake Pad Set,Front,BR650,Other Products
Bendix,Subaru,Forester,SH,2.0,,AWD,SUV,2008,2013,Brake Pad Set,Rear,BR2659,Other Products
Bendix,Subaru,Forester,SH,2.0,,AWD,SUV,2008,2013,Brake Pad Set,Front,DB1491,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SH,2.0,,AWD,SUV,2008,2013,Brake Pad Set,Rear,DB1803,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SJ,2.0,,AWD,SUV,2013,2018,Brake Pad Set,Front,DB1491,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SJ,2.0,,AWD,SUV,2013,2018,Brake Pad Set,Rear,DB1789,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SJ,2.0,,AWD,SUV,2013,2018,Brake Pad Set,Front,BR2650,Other Products
Bendix,Subaru,Forester,SJ,2.0,,AWD,SUV,2013,2018,Brake Pad Set,Rear,BR2667,Other Products
Bendix,Subaru,Forester,SK,2.0,,AWD,SUV,2018,,Brake Pad Set,Front,DB2480,Std. 4-Wheel Disc
Bendix,Subaru,Forester,SK,2.0,,AWD,SUV,2018,,Brake Pad Set,Rear,DB2398,Std. 4-Wheel Disc
