brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Tesla,Model 3,,,,AWD,Sedan,2018,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,AWD,Sedan,2018,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,AWD,Sedan,2020,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,AWD,Sedan,2020,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,Performance,AWD,Sedan,2018,,Brake Pad Set,Front,DB2675,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,Performance,AWD,Sedan,2019,,Brake Pad Set,Front,DB2675,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2017,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2017,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2020,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2020,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2020,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2020,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2019,,Brake Pad Set,Front,DB2674,Std. 4-Wheel Disc
Bendix,Tesla,Model 3,,,,RWD,Sedan,2019,,Brake Pad Set,Rear,DB2676,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,100D,AWD,Hatchback,2017,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,100D,AWD,Hatchback,2017,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,100D,AWD,Hatchback,2017,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,100D,AWD,Hatchback,2017,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2013,2014,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2013,2014,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2014,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2014,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2013,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,60,RWD,Hatchback,2013,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,70,RWD,Hatchback,2015,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,70,RWD,Hatchback,2015,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,70D,AWD,Hatchback,2015,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,70D,AWD,Hatchback,2015,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,75D,AWD,Hatchback,2016,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,75D,AWD,Hatchback,2016,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,75D,AWD,Hatchback,2016,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,75D,AWD,Hatchback,2016,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85,RWD,Hatchback,2012,2016,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85,RWD,Hatchback,2012,2016,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85D,AWD,Hatchback,2014,2016,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85D,AWD,Hatchback,2014,2016,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85D,AWD,Hatchback,2014,2016,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,85D,AWD,Hatchback,2014,2016,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,90D,AWD,Hatchback,2015,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,90D,AWD,Hatchback,2015,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,90D,AWD,Hatchback,2015,,Brake Pad Set,Front,DB1678,Std. 4-Wheel Disc
Bendix,Tesla,Model S,,,90D,AWD,Hatchback,2015,,Brake Pad Set,Rear,DB2260,Std. 4-Wheel Disc
