brand,make,model,series,engine,trim,drivetrain,body,year_from,year_to,category,position,part_number,notes
Bendix,Volkswagen,"1500,1600",31,1.5,,RWD,Hatchback,1968,1973,Brake Pad Set,Front,DB2,Other Products
Bendix,Volkswagen,"1500,1600",31,1.6,,RWD,Sedan,1964,1973,Brake Pad Set,Front,DB2,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,"1500,1600",31,1.6,,RWD,Hatchback,1965,1973,Brake Pad Set,Front,DB2,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,"1500,1600",31,1.6,,RWD,Sedan,1965,1973,Brake Pad Set,Front,DB2,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,"1500,1600",31,1.6,,RWD,Sedan,1965,1973,Brake Pad Set,Front,DB2,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,"1500,1600",36,1.6,,RWD,Wagon,1965,1973,Brake Pad Set,Front,DB2,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,AGD,2,,RWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,AGD,2,,RWD,Ute,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,AWD,Platform/Chassis,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,AWD,Platform/Chassis,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,AWD,Platform/Chassis,2011,2019,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,RWD,Platform/Chassis,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,RWD,Platform/Chassis,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,RWD,Platform/Chassis,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,AGD,2,,AWD,Ute,2010,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,AGD,2,,AWD,Ute,2011,2022,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,AGD,2,,AWD,Ute,2012,2013,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,AWD,Platform/Chassis,2011,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,AWD,Platform/Chassis,2011,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,AWD,Platform/Chassis,2011,2012,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HA,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,2HB,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S1B,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S6B,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7A,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
Bendix,Volkswagen,Amarok,S7B,2,,RWD,Ute,2012,2016,Brake Pad Set,Front,DB1915,Std. Front Disc / Rear Drum Brake
