reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53LX MF,ALFA ROMEO,"156",2001,2002,"#NAME?",Petrol,Convertible,"",114
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53L MF,ALFA ROMEO,"156",2001,2002,"#NAME?",Petrol,Convertible,"",114
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53LX MF,ALFA ROMEO,"33",1984,1987,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53L MF,ALFA ROMEO,"33",1984,1987,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN44L MF,ALFA ROMEO,"33",1984,1987,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53LX MF,ALFA ROMEO,"ALFASUD",1979,1985,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53L MF,ALFA ROMEO,"ALFASUD",1979,1985,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN44L MF,ALFA ROMEO,"ALFASUD",1979,1985,"#NAME?",Petrol,Sedan,"1500",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53LX MF,ALFA ROMEO,"ALFASUD",1972,1984,"#NAME?",Petrol,Sedan,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53L MF,ALFA ROMEO,"ALFASUD",1972,1984,"#NAME?",Petrol,Sedan,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN44L MF,ALFA ROMEO,"ALFASUD",1972,1984,"#NAME?",Petrol,Sedan,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53LX MF,ALFA ROMEO,"ALFASUD",1975,1978,"#NAME?",Petrol,Coupe,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN53L MF,ALFA ROMEO,"ALFASUD",1975,1978,"#NAME?",Petrol,Coupe,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN44L MF,ALFA ROMEO,"ALFASUD",1975,1978,"#NAME?",Petrol,Coupe,"1186cc",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",67 MF,ALFA ROMEO,"GIULIA",1966,1968,"#NAME?",Petrol,Convertible,"1600",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",57 MF,ALFA ROMEO,"GIULIA",1966,1968,"#NAME?",Petrol,Convertible,"1600",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",67 MF,ALFA ROMEO,"GIULIA",1964,1968,"#NAME?",Petrol,Coupe,"1600",78
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",57 MF,ALFA ROMEO,"GIULIA",1964,1968,"#NAME?",Petrol,Coupe,"1600",78
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",67 MF,ALFA ROMEO,"GIULIA",1966,1967,"#NAME?",Petrol,Convertible,"1600",78
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",57 MF,ALFA ROMEO,"GIULIA",1966,1967,"#NAME?",Petrol,Convertible,"1600",78
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",NS70X MF,ALFA ROMEO,"MONTREAL",1974,1976,"#NAME?",Petrol,Coupe,"2593cc",171
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",NS70 MF,ALFA ROMEO,"MONTREAL",1974,1976,"#NAME?",Petrol,Coupe,"2593cc",171
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"147",2008,2010,"1.9 JTDM 16V (937.AXN1B, 937.AXZ1B) Diesel Front-Wheel Drive Hatchback",Diesel,Hatchback,"937 A6.000",125
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"147",2008,2010,"1.9 JTDM 16V (937.AXN1B, 937.AXZ1B) Diesel Front-Wheel Drive Hatchback",Diesel,Hatchback,"937 A6.000",125
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"147",2005,2010,"1.9 JTDM 16V (937.AXN1B, 937.BXN1B) Diesel Front-Wheel Drive Hatchback",Diesel,Hatchback,"937 A5.000",110
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"147",2005,2010,"1.9 JTDM 16V (937.AXN1B, 937.BXN1B) Diesel Front-Wheel Drive Hatchback",Diesel,Hatchback,"937 A5.000",110
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"147",2003,2010,"3.2 GTA (937.AXL1) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"932 A.000",184
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"147",2003,2010,"3.2 GTA (937.AXL1) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"932 A.000",184
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"147",2001,2010,"2.0 16V T.SPARK (937.AXA1, 937.AXC1, 937.BXC1) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"AR 32310",110
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"147",2001,2010,"2.0 16V T.SPARK (937.AXA1, 937.AXC1, 937.BXC1) Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"AR 32310",110
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"156",2002,2006,"2.0 JTS (932BXA) Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"937 A1.000",122
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"156",2002,2006,"2.0 JTS (932BXA) Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"937 A1.000",122
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"156",2002,2005,"2.0 JTS (932AXA) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"937 A1.000",122
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"156",2002,2005,"2.0 JTS (932AXA) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"937 A1.000",122
"No matching vehicle found in DB",DIN65L MF,ALFA ROMEO,"156",2002,2005,"3.2 GTA (932AXB) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"932 A.000",184
"No matching vehicle found in DB",DIN65L MF,ALFA ROMEO,"156",2000,2005,"2.5 V6 24V (932A11_) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"AR 32405",141
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"156",2000,2002,"2.0 16V T.SPARK (932A2) Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"AR 32301,AR 32310",114
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"156",2000,2002,"2.0 16V T.SPARK (932A2) Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"AR 32301,AR 32310",114
"No matching vehicle found in DB",DIN53LX MF,ALFA ROMEO,"156",2000,2002,"2.0 16V T.SPARK (932A21__) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"AR 32310",110
"No matching vehicle found in DB",DIN53L MF,ALFA ROMEO,"156",2000,2002,"2.0 16V T.SPARK (932A21__) Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"AR 32310",110
