reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",N70ZZX MF,ASTON MARTIN,"DB5",1964,1966,"#NAME?",Petrol,Convertible,"AJ6",210
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",N70ZZ MF,ASTON MARTIN,"DB5",1964,1966,"#NAME?",Petrol,Convertible,"AJ6",210
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN85LH AGM,ASTON MARTIN,"V8 VANTAGE",2005,2026,"#NAME?",Petrol,Coupe,"AM07",313
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN85LHX MF,ASTON MARTIN,"V8 VANTAGE",2005,2026,"#NAME?",Petrol,Coupe,"AM07",313
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",DIN85LH MF,ASTON MARTIN,"V8 VANTAGE",2005,2026,"#NAME?",Petrol,Coupe,"AM07",313
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM2",309
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM2",309
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AM2",309
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM2",309
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM2",309
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"DB7",1999,2003,"5.9 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AM2",309
"No matching vehicle found in DB",DIN65LHX MF,ASTON MARTIN,"DB7",1996,2003,"3.2 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AJ6HT",250
"No matching vehicle found in DB",DIN65LH MF,ASTON MARTIN,"DB7",1996,2003,"3.2 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AJ6HT",250
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"DB7",1994,1999,"3.2 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6HT",250
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"DB7",1994,1999,"3.2 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6HT",250
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"DB7",1994,1999,"3.2 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6HT",233
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"DB7",1994,1999,"3.2 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6HT",233
"No matching vehicle found in DB",N70ZZX MF,ASTON MARTIN,"LAGONDA",1976,1997,"5.3 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"40HEL,40HCA",250
"No matching vehicle found in DB",N70ZZ MF,ASTON MARTIN,"LAGONDA",1976,1997,"5.3 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"40HEL,40HCA",250
"No matching vehicle found in DB",N70ZZX MF,ASTON MARTIN,"LAGONDA",1988,1995,"5.3 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"40HES,40HCA",228
"No matching vehicle found in DB",N70ZZ MF,ASTON MARTIN,"LAGONDA",1988,1995,"5.3 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"40HES,40HCA",228
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"RAPIDE",2018,2019,"6.0 AMR Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM29",444
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"RAPIDE",2014,2018,"6.0 S Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM29",412
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"RAPIDE",2013,2014,"6.0 S Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM29,AM11",410
"No matching vehicle found in DB",DIN85LH AGM,ASTON MARTIN,"RAPIDE",2010,2013,"6.0 Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM4R9,AM16",350
"No matching vehicle found in DB",DIN85LHX MF,ASTON MARTIN,"RAPIDE",2010,2013,"6.0 Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM4R9,AM16",350
"No matching vehicle found in DB",DIN85LH MF,ASTON MARTIN,"RAPIDE",2010,2013,"6.0 Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"AM4R9,AM16",350
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"DB6",1964,1970,"4.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AJ6",210
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"DB6",1964,1970,"4.0 Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"AJ6",210
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"DB6",1964,1970,"4.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6",210
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"DB6",1964,1970,"4.0 Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"AJ6",210
"No matching vehicle found in DB",NS70X MF,ASTON MARTIN,"V8",1988,1993,"5.3 S+S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HES",260
"No matching vehicle found in DB",NS70 MF,ASTON MARTIN,"V8",1988,1993,"5.3 S+S Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"40HES",260
