reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1986,1991,"2.3 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"NF",100
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1985,1991,"2.2 Turbo Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"MC",121
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1985,1991,"2.2 Turbo quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"MC",121
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1989,1990,"2.2 20V Turbo quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"3B",162
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1983,1988,"2.1 Turbo Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"KG",134
"No matching vehicle found in DB",DIN65L MF,AUDI,"200",1979,1982,"2.1 5T Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"WJ",125
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1996,"2.6 Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"ABC",110
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1996,"2.6 Petrol Front-Wheel Drive Wagon",Petrol,Wagon,"ABC",110
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1994,1995,"RS2 quattro Petrol All-wheel Drive Wagon",Petrol,Wagon,"ADU",232
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1994,1995,"RS2 quattro Petrol All-wheel Drive Wagon",Petrol,Wagon,"ADU",232
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1993,1994,"1.6 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ADA",74
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1993,1994,"1.6 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ADA",74
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1993,1994,"2.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABC",110
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1993,1994,"2.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABC",110
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1993,1994,"2.6 quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ABC",110
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1993,1994,"2.6 quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ABC",110
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1994,"2.0 E 16V Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ACE",103
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1994,"2.0 E 16V Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ACE",103
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1994,"2.0 E 16V quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ACE",103
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1994,"2.0 E 16V quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ACE",103
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1994,"2.0 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABT",66
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1994,"2.0 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABT",66
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1994,"2.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"AAH",128
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1994,"2.8 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"AAH",128
"No matching vehicle found in DB",DIN65L MF,AUDI,"80",1991,1994,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABM",52
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1991,1994,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABK",85
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1991,1994,"2.0 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"ABK",85
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1991,1994,"2.0 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ABK",85
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1991,1994,"2.0 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"ABK",85
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1991,1994,"2.3 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"NG",98
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1991,1994,"2.3 E quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"NG",98
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1991,1994,"2.3 E quattro Petrol All-wheel Drive Wagon",Petrol,Wagon,"NG",98
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1991,1994,"2.3 E quattro Petrol All-wheel Drive Wagon",Petrol,Wagon,"NG",98
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1991,1994,"2.8 quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"AAH",128
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1991,1994,"2.8 quattro Petrol All-wheel Drive Sedan",Petrol,Sedan,"AAH",128
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1992,1993,"2.3 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"NG",98
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1992,1993,"2.3 E Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"NG",98
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1987,1991,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"PP",51
"No matching vehicle found in DB",DIN53L MF,AUDI,"80",1987,1991,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"PP",51
"No matching vehicle found in DB",DIN53LX MF,AUDI,"80",1986,1991,"1.6 Petrol Front-Wheel Drive Sedan",Petrol,Sedan,"RN",55
