reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",DIN53LHX MF,BMW,"2.5-3.2",1974,1976,"2.5 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B25",110
"No matching vehicle found in DB",DIN53LH MF,BMW,"2.5-3.2",1974,1976,"2.5 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B25",110
"No matching vehicle found in DB",DIN53LHX MF,BMW,"2.5-3.2",1971,1976,"3.0 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B30",132
"No matching vehicle found in DB",DIN53LH MF,BMW,"2.5-3.2",1971,1976,"3.0 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B30",132
"No matching vehicle found in DB",DIN53LHX MF,BMW,"2.5-3.2",1971,1976,"3.0 CSi Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B30",147
"No matching vehicle found in DB",DIN53LH MF,BMW,"2.5-3.2",1971,1976,"3.0 CSi Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B30",147
"No matching vehicle found in DB",DIN53LHX MF,BMW,"2.5-3.2",1974,1975,"3.0 CSiL Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B32 (315/1A)",152
"No matching vehicle found in DB",DIN53LH MF,BMW,"2.5-3.2",1974,1975,"3.0 CSiL Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B32 (315/1A)",152
"No matching vehicle found in DB",DIN53LHX MF,BMW,"2.5-3.2",1969,1971,"2800 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B28",125
"No matching vehicle found in DB",DIN53LH MF,BMW,"2.5-3.2",1969,1971,"2800 CS Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"M30 B28",125
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2020,2026,"128 ti Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B48 A20 B",180
"No matching vehicle found in DB",DIN75LH EFB,BMW,"1",2020,2026,"128 ti Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B48 A20 B",180
"No matching vehicle found in DB",DIN65LH EFB,BMW,"1",2020,2026,"128 ti Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B48 A20 B",180
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2019,2026,"118 i Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B38A15F,B38 A15 A",103
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2019,2026,"118 i Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B38A15F,B38 A15 A",103
"No matching vehicle found in DB",DIN75LH EFB,BMW,"1",2019,2026,"118 i Petrol Front-Wheel Drive Hatchback",Petrol,Hatchback,"B38A15F,B38 A15 A",103
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2019,2026,"M 135 i xDrive Petrol All-wheel Drive Hatchback",Petrol,Hatchback,"B48 A20 E",225
"No matching vehicle found in DB",DIN65LH EFB,BMW,"1",2019,2026,"M 135 i xDrive Petrol All-wheel Drive Hatchback",Petrol,Hatchback,"B48 A20 E",225
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2016,2019,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"B48 B20 A",135
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2016,2019,"125 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"B48 B20 B",165
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2016,2019,"M 140 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"B58 B30 A",250
"No matching vehicle found in DB",DIN85LH AGM,BMW,"1",2015,2019,"118 d Diesel Rear-Wheel Drive Hatchback",Diesel,Hatchback,"B47 D20 A",110
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2015,2019,"118 d Diesel Rear-Wheel Drive Hatchback",Diesel,Hatchback,"B47 D20 A",110
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2015,2019,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"B38 B15 A",100
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2015,2016,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N13 B16 A",130
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2015,2016,"M 135 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N55 B30 A",240
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2012,2016,"125 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N20 B20 A",160
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2015,2015,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N13 B16 A",100
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2012,2015,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N13 B16 A",125
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2012,2015,"M 135 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N55 B30 A",235
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2011,2015,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N13 B16 A",125
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2009,2013,"120 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N46 B20 B",115
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2009,2013,"120 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N46 B20 B",115
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2009,2013,"120 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N46 B20 B",115
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N43 B20 A",120
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N43 B20 A",120
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N43 B20 A",120
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N46 B20 B,N46 B20 E,N46 B20 C",115
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N46 B20 B,N46 B20 E,N46 B20 C",115
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2008,2013,"120 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N46 B20 B,N46 B20 E,N46 B20 C",115
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2008,2013,"125 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN65LH EFB,BMW,"1",2008,2013,"125 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2008,2013,"125 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN85LH AGM,BMW,"1",2008,2013,"135 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2008,2013,"135 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2008,2013,"135 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2007,2013,"125 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN65LH EFB,BMW,"1",2007,2013,"125 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2007,2013,"125 i Petrol Rear-Wheel Drive Convertible",Petrol,Convertible,"N52 B30 BF,N52 B30 A,N52 B30 B",160
"No matching vehicle found in DB",DIN85LH AGM,BMW,"1",2007,2013,"135 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2007,2013,"135 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN75LHX MF,BMW,"1",2007,2013,"135 i Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N55 B30 A,N54 B30 A",225
"No matching vehicle found in DB",DIN75LH AGM,BMW,"1",2011,2012,"M Petrol Rear-Wheel Drive Coupe",Petrol,Coupe,"N54 B30 A",250
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",125
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",125
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",125
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 A,N46 B20 BD,N46 B20",115
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 A,N46 B20 BD,N46 B20",115
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2007,2011,"120 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B,N46 B20 CC,N46 B20 A,N46 B20 BD,N46 B20",115
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2006,2011,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",105
"No matching vehicle found in DB",DIN65LHX MF,BMW,"1",2006,2011,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",105
"No matching vehicle found in DB",DIN65LH MF,BMW,"1",2006,2011,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N43 B20 A",105
"No matching vehicle found in DB",DIN65LH AGM,BMW,"1",2006,2011,"118 i Petrol Rear-Wheel Drive Hatchback",Petrol,Hatchback,"N46 B20 B",100
