reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2006,2009,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",195
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2006,2009,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",195
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2004,2007,"VZ 5.7 i V8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",250
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2004,2007,"VZ 5.7 i V8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",250
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2004,2007,"VZ 5.7 i V8 CX8/LX8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",235
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2004,2007,"VZ 5.7 i V8 CX8/LX8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",235
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2006,2006,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",188
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2006,2006,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",188
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2005,2006,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",190
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2005,2006,"VZ 3.6 i V6 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"H7,LY7",190
"No matching vehicle found in DB",68 MF,HOLDEN,"ADVENTRA",2003,2004,"VY 5.7 i V8 CX8/LX8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",235
"No matching vehicle found in DB",58 MF,HOLDEN,"ADVENTRA",2003,2004,"VY 5.7 i V8 CX8/LX8 AWD Petrol All-wheel Drive Wagon",Petrol,Wagon,"LS1",235
"No matching vehicle found in DB",03,HOLDEN,"48/215",1951,1953,"FX 2.2 Petrol Rear-Wheel Drive Ute",Petrol,Ute,"GMH 132 (Grey)",45
"No matching vehicle found in DB",03,HOLDEN,"48/215",1948,1953,"FX 2.2 Petrol Rear-Wheel Drive Sedan",Petrol,Sedan,"GMH 132 (Grey)",45
"No matching vehicle found in DB",DIN75LH AGM,HOLDEN,"ACADIA",2018,2019,"AC 3.6 AWD Petrol All-wheel Drive SUV",Petrol,SUV,"LGX",231
