reason,part_number,make,model,year_from,year_to,description,engine_type,body_type,engine_code,power_kw
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",NS40Z MF,SUZUKI,"JIMNY",1998,2000,"#NAME?",Petrol,,"G13BA",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",GYZ16H,SUZUKI,"LT-F400",2002,2007,"#NAME?",Petrol,Quad Bike,"400",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",YTX14H-BS,SUZUKI,"LT-F400",2002,2007,"#NAME?",Petrol,Quad Bike,"400",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",YTX14-BS,SUZUKI,"LT-F400",2002,2007,"#NAME?",Petrol,Quad Bike,"400",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",GYZ16H,SUZUKI,"LT-A400",2002,2008,"#NAME?",Petrol,Quad Bike,"400",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",YTX14H-BS,SUZUKI,"LT-A400",2002,2008,"#NAME?",Petrol,Quad Bike,"400",0
"#NAME? in description — source spreadsheet formula error, engine/variant data missing",YTX14-BS,SUZUKI,"LT-A400",2002,2008,"#NAME?",Petrol,Quad Bike,"400",0
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"CARRY",2013,2026,"0.7 (DA16T) Petrol Rear-Wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"R06A",37
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"CARRY",2013,2026,"0.7 (DA16T) Petrol Rear-Wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"R06A",37
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"CARRY",2013,2026,"0.7 4x4 (DA16T) Petrol All-wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"R06A",37
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"CARRY",2013,2026,"0.7 4x4 (DA16T) Petrol All-wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"R06A",37
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"CARRY",2000,2005,"1.3 4x4 (DA32T) Petrol All-wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"G13BB",58
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"CARRY",2000,2005,"1.3 4x4 (DA32T) Petrol All-wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"G13BB",58
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"CARRY",1999,2005,"1.3 16 V (DA32V) Petrol Rear-Wheel Drive Van",Petrol,Van,"G13BB",58
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"CARRY",1999,2005,"1.3 16 V (DA32V) Petrol Rear-Wheel Drive Van",Petrol,Van,"G13BB",58
"No matching vehicle found in DB",NS40ZLX MF,SUZUKI,"CARRY",1999,2004,"0.7 (DA52T) Petrol Rear-Wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"F6A",47
"No matching vehicle found in DB",NS40ZL MF,SUZUKI,"CARRY",1999,2004,"0.7 (DA52T) Petrol Rear-Wheel Drive Platform/Chassis",Petrol,Platform/Chassis,"F6A",47
"No matching vehicle found in DB",U1R AGM,SUZUKI,"CARRY",1985,1990,"1.0 (DA21, SK410) Petrol Rear-Wheel Drive Van",Petrol,Van,"F10A",33
"No matching vehicle found in DB",U1R MF,SUZUKI,"CARRY",1985,1990,"1.0 (DA21, SK410) Petrol Rear-Wheel Drive Van",Petrol,Van,"F10A",33
