make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Honda,Accord Euro,"CL,CN",Sedan,2003,2008,,2.4,140,,FWD,DB1391,DB1265,,Suits 260mm disc rotors
Honda,Accord Euro,"CL,CN",Sedan,2003,2008,,2.4,140,,FWD,DB1393,DB1265,,
Honda,Accord Euro,"CL,CN",Sedan,2003,2008,,2.4,140,,FWD,DB1481,DB1265,,Suits 282mm disc rotors
Honda,Accord Euro,"CL,CN",Sedan,2003,2008,,2,114,,FWD,DB1265,,,
Honda,Accord,CV,Sedan,2019,,VTEC,1.5,140,,FWD,DB2304,,,
Honda,Accord Euro,CU,Sedan,2008,2015,i,2.4,148,,FWD,DB2118,DB1728,,
Honda,Accord Euro,CU,Sedan,2008,2015,i,2.4,148,,FWD,DB2304,DB1728,,From 2013 on
Honda,Accord Euro,CU,Sedan,2008,2015,i,2.4,148,,FWD,DB2308,DB1728,,From 2013 on suits 296mm disc
Honda,Accord,CV,Sedan,2017,,iVTEC,1.5,138,,FWD,DB2304,,,
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB152,,,
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB198,,,With Front Sumitomo Disc
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB280,,,USA Models; With Front Disc
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB300,,,New Zealand Models With Front Disc
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB358,,,With Front Wear Indicator
Honda,Accord,"SJ,SY,SM",Sedan,1978,1983,,1.6,59,L/EX,FWD,DB384,,,2 & 4 Door Models
Honda,Accord,"SJ,SY",Hatchback,1979,1983,,1.6,59,L/EX,FWD,DB152,,,
Honda,Accord,"SJ,SY",Hatchback,1979,1983,,1.6,59,L/EX,FWD,DB358,,,With Front Wear Indicator
Honda,Accord,"SJ,SY",Hatchback,1979,1983,,1.6,59,L/EX,FWD,DB384,,,2 & 4 Door Models
Honda,Accord,CA,Sedan,1987,1989,12V,2,85,,FWD,DB1133,DB430,,Suits models from 1987 on
Honda,Accord,CA,Sedan,1986,1987,,2,78,EX,FWD,DB429,DB430,,2 & 3 Door Models; With Front Disc With Front Disc
Honda,Accord,CA,Wagon,1986,1987,,2,78,EX,FWD,DB429,DB430,,2 & 3 Door Models; With Front Disc
Honda,Accord,"AC,AD",Hatchback,1985,1985,,1.8,74,EX,FWD,DB300,,,With Front Disc; Australian Japan New Zealand Models
