make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Hyundai,Accent,RB,Hatchback,2015,2019,,1.4,73,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Hatchback,2015,2019,,1.4,73,,FWD,,BR2477,,Other Products
Hyundai,Accent,RB,Hatchback,2015,2019,,1.4,74,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Hatchback,2015,2019,,1.4,74,,FWD,BR2893,BR2477,,Other Products
Hyundai,Accent,RB,Sedan,2010,2017,,1.4,74,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Sedan,2010,2017,,1.4,74,,FWD,BR2893,BR2477,,Other Products
Hyundai,Accent,LC,Hatchback,2000,2003,,1.5,75,,FWD,DB1252,,BS1779,Std. Front Disc / Rear Drum Brake
Hyundai,Accent,LC,Hatchback,2000,2002,,1.5,76,,FWD,DB1252,,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Hatchback,2011,2012,CRDi,1.6,94,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Hatchback,2011,2012,CRDi,1.6,94,,FWD,,BR2477,,Other Products
Hyundai,Accent,RB,Sedan,2010,2017,CRDi,1.6,94,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Sedan,2010,2017,CRDi,1.6,94,,FWD,,BR2477,,Other Products
Hyundai,Accent,RB,Hatchback,2011,2019,GDI,1.6,103,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Hatchback,2011,2019,GDI,1.6,103,,FWD,,BR2477,,Other Products
Hyundai,Accent,RB,Sedan,2010,2019,GDI,1.6,103,,FWD,DB2272,DB2076,,Std. 4-Wheel Disc
Hyundai,Accent,RB,Sedan,2010,2019,GDI,1.6,103,,FWD,,BR2477,,Other Products
