make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Isuzu,D-MAX,"TFR,TFS",Ute,2019,2025,DDi,1.9,110,,AWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2019,2025,DDi,1.9,110,,AWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2021,2025,DDi,1.9,110,,RWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2021,2025,DDi,1.9,110,,RWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Ute,2019,2025,DDi,1.9,110,,RWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2019,2025,DDi,1.9,110,,RWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,DB1841,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,,,BS5010,Std. 4-Wheel Disc
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,AWD,BR2060,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,DB1841,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,,,BS5010,Std. 4-Wheel Disc
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,AWD,BR2060,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,RWD,DB1841,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2012,2020,CRDi,3.0,130,,RWD,BR2060,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,RWD,DB1841,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,RWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Ute,2012,2020,CRDi,3.0,130,,RWD,BR2060,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,AWD,DB1468,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,AWD,,,BS1793,"Brake Hoses - Front, Std. Suspension and 2in (50mm) Lift"
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,AWD,,,BS5010,Std. 4-Wheel Disc
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,AWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,RWD,DB1468,,BS5010,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,RWD,,,BS1793,"Brake Hoses - Front, Std. Suspension and 2in (50mm) Lift"
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2007,2012,D,3.0,120,,RWD,,,BS5010,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,AWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,AWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,AWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,AWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,AWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,RWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,RWD,,,BS5018,Bendix Drum to Disc Conversion Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,RWD,,,BS5018,Bendix Big Brake Upgrade Kit
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,RWD,,,BS5018,Bendix Brake Upgrade Kits
Isuzu,D-MAX,"TFR,TFS",Ute,2020,,DDi,3.0,140,,RWD,,,BS5018,Other Products
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,RWD,DB2533,,BS5018,Std. Front Disc / Rear Drum Brake
Isuzu,D-MAX,"TFR,TFS",Platform/Chassis,2020,,DDi,3.0,140,,RWD,,,BS5018,Bendix Drum to Disc Conversion Kit
