,,FRONT,,,REAR,,,,,
YEAR,MAKE & MODEL,LOW,STD,RAISED,LOW,STD +,RAISED,,,
ALFA ROMEO,,,,,,,,,,
64-76,105 SERIES,,,,,KARS-04,,,,
71-84,ALFASUD,KAFL-01,KAFS-01,,KARL-02,KARS-02,,,,
84-86,ALFETTA,,,,KARL-05,KARS-05,,,,
02-03,147,KAFL-06,,,KARL-07,,,,,
2/99-06,156 SEDAN ONLY,KAFL-06,,,KARL-07,,,,,
AUDI,,,,,,,,,,
97-01,A3,KAFL-13,,,KARL-14,,,,,
95-5/01,A4 4CYL SEDAN B5,KAFL-10SL,,,KARL-11SL,,,,,
95-5/01,A4 6CYL SEDAN B5,KAFL-10,,,KARL-11,,,,,
95-5/01,A4 QUATTRO SEDAN B5,KAFL-10,,,KARL-12,,,,,
06 ON,Q7,KAFL-16,,,KARL-17,,,,,
BEDFORD,,,,,,,,,,
70-85,CF VAN,,KBFS-01,,,,,,,
BMW,,,,,,,,,,
66-77,2002,KBFL-21,KBFS-21,,KBRL-22,KBRS-22,,,,
78-86,E23 733-735,KBFS-23,,,KBRS-24,,,,
83-91,E30 318,KDRL-50,KDRL-83,,KBRL-14,KHRL-46,,,,
83-91,E30 320 323 325,KDFL-01,KDRL-83,,KBRL-14,KHRL-46,,,,
88-96,E34 523 525,KDRL-83,,,KDRS-13,,,,,
90-9/91,E36 318,KTFL-26,KTFS-26,,KBRL-17,KHRL-125,,,,
90-9/91,E36 320 325,KTFL-26,KTFS-26,,KBRL-17,KHRL-125,,,,
95-00,E36 316,KBFL-20,KBFS-20,,KBRL-14,KBRL-17,,,,
10/91-00,E36 318,KBFL-19,KBFS-19,,KBRL-17,KHRL-125,,,,
10/91-00,E36 320 323 325 328,KBFL-20,KBFS-20,,KBRL-17,KHRL-125,,,,
96-00,E39 523 525 528,KBFL-32SP,,,KBRL-31,,,,,
96-00,E39 535 540,KBFL-30,,,KBRL-31,,,,,
98-05,E46 318,KBFL-32,,,KBRL-18,,,,,
