make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Mazda,121,DA,Hatchback,1987,1991,,1.3,44,,FWD,DB442,,,Std. Front Disc / Rear Drum Brake
Mazda,121 Metro,DW,Hatchback,1996,2000,16V i,1.3,53,,FWD,DB1335,,,Std. Brake System
Mazda,121,DB,Sedan,1994,1997,i,1.5,62,,FWD,DB1158,,,Std. Front Disc / Rear Drum Brake
Mazda,121,DB,Sedan,1990,1997,16V i,1.3,53,,FWD,DB1158,,,Std. Front Disc / Rear Drum Brake
Mazda,121 Metro,DW,Hatchback,1996,2002,16V i,1.5,64,,FWD,DB1335,,,Std. Brake System
Mazda,2,"DE, DH",Hatchback,2007,2014,,1.5,76,,FWD,DB1941,,,Std. Front Disc / Rear Drum Brake
Mazda,2,"DL, DJ",Hatchback,2014,2019,,1.5,79,,FWD,DB2334,,,Std. Front Disc / Rear Drum Brake
Mazda,2,"DL, DJ",Hatchback,2014,,,1.5,81,,FWD,DB2334,,,Std. Front Disc / Rear Drum Brake
Mazda,2,DE,Sedan,2010,2014,i,1.5,76,,FWD,DB1941,,,Std. Front Disc / Rear Drum Brake
Mazda,2,DY,Hatchback,2003,2007,,1.5,82,,FWD,DB1724,,,Std. Front Disc / Rear Drum Brake
Mazda,2,DL,Sedan,2015,2019,,1.5,79,,FWD,DB2334,,,Std. Brake System
Mazda,2,DL,Sedan,2015,,,1.5,81,,FWD,DB2334,,,Std. Brake System
Mazda,323 Astina,BG,Hatchback,1991,1994,16V,1.6,65,,FWD,DB1158,DB1159,,Std. 4-Wheel Disc
Mazda,323 Astina,BJ,Hatchback,1998,2002,Astina,1.6,78,Astina,FWD,DB1255,DB1359,,Other Products
Mazda,323 Astina,BA,Hatchback,1994,1998,16V,1.8,92,,FWD,DB1177,DB1291,,Std. 4-Wheel Disc
Mazda,323 Astina,BG,Hatchback,1989,1991,,1.6,62,,FWD,DB1158,DB1159,,Std. 4-Wheel Disc
Mazda,323 Astina,BJ,Hatchback,1998,2002,,1.6,72,,FWD,DB1358,DB417,,Std. Brake System
Mazda,323 Astina,BA,Hatchback,1994,1998,24V,2,106,,FWD,DB1177,,,Other Products
Mazda,323 Astina,BJ,Hatchback,1998,2004,Astina,1.8,92,Astina,FWD,DB1362,DB1359,,Std. 4-Wheel Disc
Mazda,323 Astina,BA,Coupe,1994,1998,,1.8,92,,FWD,DB1177,DB1291,,Std. 4-Wheel Disc
Mazda,323 Astina,BG,Hatchback,1989,1994,16V,1.8,76,,FWD,DB1158,DB1159,,Std. 4-Wheel Disc
Mazda,323 Astina,BG,Hatchback,1989,1994,16V,1.8,94,GT,FWD,DB1158,DB1159,,Std. 4-Wheel Disc
Mazda,323 Protege,BJ,Sedan,1998,2003,,1.6,78,,FWD,DB1358,DB1359,,Other Products
Mazda,323 Protege,BA,Sedan,1994,1998,,1.8,92,,FWD,DB1177,DB1291,,Std. 4-Wheel Disc
Mazda,323 Astina,BJ,Hatchback,2000,2004,SP20,2,98,,FWD,DB1362,DB1359,,Std. 4-Wheel Disc
Mazda,323 Protege,BJ,Sedan,1998,2004,,1.8,92,,FWD,DB1362,DB1359,,Std. 4-Wheel Disc
Mazda,323 Protege,BJ,Sedan,2001,2004,SP20,2,98,,FWD,DB1255,DB1359,,Other Products
Mazda,323,FA,Hatchback,1977,1980,,1.3,44,,RWD,DB153,,,Std. Front Disc / Rear Drum Brake
Mazda,323,BD,Hatchback,1981,1985,,1.5,55,,FWD,DB241,,,Std. Front Disc / Rear Drum Brake
Mazda,323,BD,Sedan,1981,1985,,1.5,55,,FWD,DB241,,,Std. Front Disc / Rear Drum Brake
Mazda,323,BD,Hatchback,1980,1985,,1.5,59,,FWD,DB241,,,Std. Front Disc / Rear Drum Brake
Mazda,323,FA,Wagon,1982,1985,,1.5,50,,RWD,DB153,,,Std. Brake System
Mazda,323,BF,Sedan,1985,1989,,1.5,54,,FWD,DB406,DB1159,,Std. 4-Wheel Disc
Mazda,323,FA,Hatchback,1978,1981,,1.4,51,,RWD,DB153,,,Std. Front Disc / Rear Drum Brake
Mazda,323,FA,Wagon,1978,1982,,1.4,51,,RWD,DB153,,,Std. Brake System
Mazda,323,BF,Hatchback,1985,1989,,1.6,54,,FWD,DB406,DB1159,,Std. 4-Wheel Disc
Mazda,323,BG,Sedan,1989,1991,,1.6,64,,FWD,DB1158,DB1159,,Other Products
Mazda,323,BF,Sedan,1985,1989,GLX,1.6,54,GLX,FWD,DB406,DB1159,,Std. 4-Wheel Disc
Mazda,323,BG,Sedan,1989,1996,16V,1.6,65,,FWD,DB1158,DB1159,,Std. Brake System
Mazda,323,BW,Wagon,1986,1989,,1.6,63,,FWD,DB406,DB1159,,Std. Brake System
Mazda,3,BK,Hatchback,2003,2006,,2,104,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BK,Sedan,2003,2006,,2,104,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BK,Hatchback,2006,2009,,2,110,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,3,BK,Sedan,2006,2009,,2,110,,FWD,DB1679,DB1763,,Std. 4-Wheel Disc
Mazda,323,BF,Hatchback,1987,1989,Turbo,1.6,103,GT,FWD,DB241,,,Std. Front Disc / Rear Drum Brake
Mazda,323,BF,Hatchback,1987,1989,Turbo,1.6,103,GT,AWD,DB406,DB1159,,Std. 4-Wheel Disc
Mazda,323,BG,Sedan,1989,1994,16V,1.8,76,,FWD,DB1158,DB1159,,Std. Brake System
Mazda,323,BG,Sedan,1989,1991,16V,1.8,77,,FWD,DB1158,DB1159,,Other Products
