make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Mercedes-Benz,123,S123,Wagon,1980,1985,,2,74,200 T,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1980,1985,,2,80,200 T,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,C123,Coupe,1980,1985,,2.3,100,230 CE,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1980,1985,,2.3,100,230 TE,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,W123,Sedan,1981,1985,,2.3,100,230 E,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1977,1980,,2.3,80,230 T,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,W123,Sedan,1976,1978,,2.5,95,250,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,W123,Sedan,1976,1981,,2.3,80,230,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,W123,Sedan,1980,1982,D,2.4,53,240,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1977,1979,D,2.4,48,240 T,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1979,1985,D,2.4,53,240 T,RWD,DB243,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1978,1982,,2.5,103,250 T,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1978,1979,,2.5,95,250 T,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,C123,Coupe,1977,1985,,2.7,136,280 CE,RWD,DB143,DB2,,Other Products
Mercedes-Benz,123,S123,Wagon,1977,1985,,2.7,136,280 TE,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,123,S123,Wagon,1979,1985,D,2.9,65,300 T,RWD,DB143,DB2,,Other Products
Mercedes-Benz,123,W123,Sedan,1976,1985,,2.7,136,280 E,RWD,DB143,DB2,,Other Products
Mercedes-Benz,123,W123,Sedan,1976,1980,D,2.9,59,300,RWD,DB243,,,Std. 4-Wheel Disc
Mercedes-Benz,123,W123,Sedan,1979,1985,D,2.9,65,300,RWD,DB243,,,Std. 4-Wheel Disc
Mercedes-Benz,124,S124,Wagon,1985,1991,D,2,53,200 T,RWD,,DB1145,,
Mercedes-Benz,124,S124,Wagon,1988,1991,D,2,55,200 T,RWD,,DB1145,,
Mercedes-Benz,124,W124,Sedan,1985,1990,,2,80,200,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1986,1993,,2,100,200 TE,RWD,,DB1145,,
Mercedes-Benz,124,S124,Wagon,1988,1992,,2,87,200 TE,RWD,,DB1145,,
Mercedes-Benz,124,S124,Wagon,1988,1989,,2,90,200 TE,RWD,,DB1145,,
Mercedes-Benz,124,S124,Wagon,1986,1990,,2,77,200 T,RWD,,DB1145,,
Mercedes-Benz,124,S124,Wagon,1985,1989,,2,80,200 T,RWD,,DB1145,,
Mercedes-Benz,124,W124,Sedan,1985,1993,,2.3,100,230 E,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1986,1993,,2.3,97,230 E,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1989,1993,,2.3,97,230 E Cat,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1992,1993,,2.2,110,220 E,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1992,1993,,2.2,110,220 TE,RWD,,DB1321,,
Mercedes-Benz,124,C124,Coupe,1992,1993,,2.2,110,220 CE,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1985,1993,D,2.5,66,250,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1989,1992,,2.3,97,230 TE Cat,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1985,1992,,2.3,100,230 TE,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1985,1992,,2.3,97,230 TE,RWD,,DB1321,,
Mercedes-Benz,124,W124,Sedan,1988,1993,Turbo,2.5,93,250 -D,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1988,1991,,2.6,118,260 E,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1985,1989,,2.6,122,260 E,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1986,1989,4-matic,2.6,122,260 E,AWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1992,1993,,2.8,145,280 E,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1989,1992,,2.6,118,260 TE FGST.,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1985,1989,,2.6,122,260 TE FGST.,RWD,,DB1321,,
Mercedes-Benz,124,W124,Sedan,1989,1993,4-matic D,3,83,300,AWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1992,1993,,2.8,145,280 TE,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,124,W124,Sedan,1984,1989,D,3,80,300,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1990,1993,D,3,81,300,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1989,1993,D,3,83,300,RWD,,DB433,,
Mercedes-Benz,124,C124,Coupe,1990,1993,,3,162,300 CE-24,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,124,C124,Coupe,1987,1993,,3,132,300 CE,RWD,,DB433,,
Mercedes-Benz,124,C124,Coupe,1988,1990,,3,138,300 CE,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1986,1989,Turbo,3,105,300 T -D,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1989,1993,Turbo,3,108,300 T -D,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1992,1993,,3,100,300 TD T,RWD,,DB1321,,
Mercedes-Benz,124,W124,Sedan,1988,1992,,3,162,300 E-24,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,124,W124,Sedan,1985,1992,,3,132,300 E,RWD,,DB433,,
Mercedes-Benz,124,W124,Sedan,1985,1992,,3,138,300 E,RWD,,DB433,,
Mercedes-Benz,124,S124,Wagon,1986,1993,D,3,80,300 T,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1989,1993,D,3,81,300 T,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1989,1993,D,3,83,300 T,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1986,1993,4-matic,3,132,300 TE,AWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1986,1989,4-matic,3,138,300 TE,AWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1989,1992,,3,162,300 TE-24,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,124,W124,Sedan,1992,1993,,3.2,162,320 E,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,124,S124,Wagon,1986,1992,,3,132,300 TE,RWD,,DB1321,,
Mercedes-Benz,124,S124,Wagon,1986,1989,,3,138,300 TE,RWD,,DB1321,,
Mercedes-Benz,124,C124,Coupe,1992,1993,,3.2,162,320 CE,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1982,1984,,2,66,2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1986,1990,,2,75,2.0,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1983,1990,,2,77,2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1986,1988,,2.5,66,D 2.5,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1989,1993,,2.5,69,D 2.5,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1982,1988,,2.3,100,2.3 E,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1983,1989,,2,53,D 2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1990,1993,,2.5,173,E 2.5-16 Evolution II,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1990,1992,,2.3,100,E 2.3,RWD,,DB433,,
Mercedes-Benz,190,W201,Sedan,1986,1991,,2.3,97,E 2.3,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1985,1986,,2,83,E 2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1985,1986,,2,85,E 2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1985,1993,,2,87,E 2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1982,1993,,2,90,E 2.0,RWD,DB320,DB328,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1985,1987,,2.3,125,E 2.3-16,RWD,,DB433,,
Mercedes-Benz,190,W201,Sedan,1985,1988,,2.3,130,E 2.3-16,RWD,,DB433,,
Mercedes-Benz,190,W201,Sedan,1984,1987,,2.3,136,E 2.3-16,RWD,DB320,DB433,,Std. 4-Wheel Disc
Mercedes-Benz,/8,W115,Sedan,1968,1973,,2.2,66,220,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,/8,W115,Sedan,1968,1973,,2.2,77,220,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1988,1993,,2.5,150,E 2.5-16,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1987,1991,,2.6,118,E 2.6,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1986,1989,,2.6,122,E 2.6,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1989,1993,,2.5,143,E 2.5-16 Evolution,RWD,DB1320,DB1321,,Std. 4-Wheel Disc
Mercedes-Benz,190,W201,Sedan,1988,1993,Turbo,2.5,90,-D 2.5,RWD,,DB328,,
Mercedes-Benz,190,W201,Sedan,1988,1993,Turbo,2.5,93,-D 2.5,RWD,,DB328,,
Mercedes-Benz,/8,W115,Sedan,1973,1976,,2.3,81,230.4,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Coupe,1972,1977,,2.7,136,280 CE,RWD,DB143,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Coupe,1969,1972,,2.5,110,250 CE,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Sedan,1972,1976,,2.7,96,250 2.8,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Sedan,1968,1976,,2.3,88,230.6,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W168,Hatchback,1997,2004,,1.4,60,A 140,FWD,DB2021,,,Std. Front Disc / Rear Drum Brake
Mercedes-Benz,A-Class,W169,Hatchback,2004,2012,,1.5,70,A 150,FWD,DB2019,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Sedan,1972,1976,,2.7,136,280 E,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W168,Hatchback,1997,2004,,1.6,75,A 160,FWD,DB2021,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,/8,W114,Sedan,1972,1976,,2.7,118,280,RWD,DB11,DB2,BS1630,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,V177,Sedan,2019,2022,,1.3,100,A 180,FWD,DB2629,DB2645,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W169,Hatchback,2004,2012,,1.7,85,A 170,FWD,DB2019,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W169,Hatchback,2004,2012,CDI,2,80,A 180,FWD,DB2019,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W176,Hatchback,2012,2014,CDI,1.8,80,A 180,FWD,DB2315,DB2318,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W176,Hatchback,2012,2018,CDI D,1.5,80,A 180,FWD,DB2315,DB2318,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W168,Hatchback,1999,2004,,1.9,92,A 190,FWD,DB2021,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W177,Hatchback,2018,2022,,1.3,100,A 180,FWD,DB2629,DB2645,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W176,Hatchback,2014,2018,CDI D,2.2,100,A 200,FWD,DB2315,DB2318,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W176,Hatchback,2012,2018,,1.6,90,A 180,FWD,DB2315,DB2318,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W169,Hatchback,2009,2012,,1.7,85,A 180,FWD,DB2019,DB2020,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W177,Hatchback,2022,,Mild-Hybrid,1.3,120,A 200,FWD,DB2629,DB2645,,Std. 4-Wheel Disc
Mercedes-Benz,A-Class,W169,Hatchback,2004,2012,CDI,2,103,A 200,FWD,DB2233,DB2020,,Std. 4-Wheel Disc
