make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Nissan,180SX,S13,Coupe,1988,1992,,1.8,97,,RWD,DB1117,DB325,,Std. 4-Wheel Disc
Nissan,180SX,S13,Coupe,1988,1992,Turbo,1.8,124,,RWD,DB1117,DB325,,Std. 4-Wheel Disc
Nissan,180SX,S13,Coupe,1988,1992,Turbo,1.8,130,,RWD,DB1117,,,Other Products
Nissan,180SX,S13,Coupe,1989,1992,Turbo,1.8,148,,RWD,DB1117,DB325,,Std. 4-Wheel Disc
Nissan,180SX,S13,Coupe,1991,1994,,2.0,119,,RWD,DB1232,DB325,,Std. 4-Wheel Disc
Nissan,180SX,S13,Coupe,1991,1994,Turbo,2.0,147,,RWD,DB1232,DB325,,Std. 4-Wheel Disc
Nissan,280ZX,HGS130,Coupe,1978,1984,,2.8,103,,RWD,DB215,DB228,,Std. 4-Wheel Disc
Nissan,300ZX,Z31,Targa,1987,1990,Turbo,3.0,149,,RWD,,DB325,,Std. 4-Wheel Disc
Nissan,300ZX,Z32,Coupe,1990,1997,Twin Turbo,3.0,197,,RWD,DB1170,DB1220,,Std. 4-Wheel Disc
Nissan,300ZX,Z32,Coupe,1989,1997,Twin Turbo,3.0,208,,RWD,DB1170,DB1220,,Std. 4-Wheel Disc
Nissan,300ZX,Z31,Targa,1984,1987,,3.0,125,,RWD,DB382,DB325,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Convertible,2003,2007,,3.5,206,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Convertible,2003,2007,,3.5,206,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,350Z,Z33,Convertible,2003,2007,,3.5,206,,RWD,,DB2340,,Other Products
Nissan,350Z,Z33,Coupe,2002,2007,,3.5,206,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Coupe,2002,2007,,3.5,206,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,350Z,Z33,Coupe,2002,2007,,3.5,206,,RWD,,DB2340,,Other Products
Nissan,350Z,Z33,Convertible,2005,2007,,3.5,221,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Convertible,2005,2007,,3.5,221,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,350Z,Z33,Coupe,2005,2007,,3.5,221,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Coupe,2005,2007,,3.5,221,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,350Z,Z33,Convertible,2007,2009,,3.5,230,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Convertible,2007,2009,,3.5,230,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,350Z,Z33,Coupe,2007,2009,,3.5,230,,RWD,DB1232,DB1509,,Std. 4-Wheel Disc
Nissan,350Z,Z33,Coupe,2007,2009,,3.5,230,,RWD,DB1520,DB1509,,Std. 4-Wheel Disc - Brembo Caliper
Nissan,370Z,Z34,Coupe,2009,2013,V6 VVEL,3.7,243,,RWD,DB2400,DB2401,,Std. 4-Wheel Disc
Nissan,370Z,Z34,Convertible,2009,2013,,3.7,243,,RWD,DB2400,DB2401,,Std. 4-Wheel Disc
Nissan,370Z,Z34,Convertible,2013,2020,,3.7,245,,RWD,DB2400,DB2401,,Std. 4-Wheel Disc
Nissan,370Z,Z34,Coupe,2013,2021,,3.7,245,,RWD,DB2400,DB2401,,Std. 4-Wheel Disc
Nissan,370Z,Z34,Coupe,2013,2021,,3.7,253,NISMO,RWD,BR2314,BR2315,,Std. 4-Wheel Disc
Nissan,370Z,Z34,Coupe,2013,2021,,3.7,253,NISMO,RWD,,DB2401,,Other Products
Nissan,Almera,N17,Sedan,2012,2013,i,1.5,75,,FWD,,,BS5261,Std. Front Disc / Rear Drum Brake
Nissan,Almera,N17,Sedan,2012,2013,i,1.5,75,,FWD,DB1830,,BS5261,Other Products
Nissan,Altima,L33,Sedan,2013,2017,,2.5,127,,FWD,DB2336,DB1509,,Std. 4-Wheel Disc
Nissan,Altima,L33,Sedan,2013,2017,,2.5,127,,FWD,,BR2331,,Other Products
Nissan,Altima,L33,Sedan,2013,2017,,3.5,183,,FWD,DB2336,DB1509,,Std. 4-Wheel Disc
Nissan,Bluebird,910,Sedan,1981,1985,,2.0,72,,RWD,DB1091,DB1094,,Std. 4-Wheel Disc - Girlock Caliper
Nissan,Bluebird,910,Sedan,1981,1985,,2.0,72,,RWD,DB225,DB1094,,Std. 4-Wheel Disc
Nissan,Bluebird,W910,Wagon,1981,1985,i,2.0,72,,RWD,DB1091,DB1094,,Std. 4-Wheel Disc - Girlock Caliper
Nissan,Bluebird,W910,Wagon,1981,1985,i,2.0,72,,RWD,DB225,DB1094,,Std. 4-Wheel Disc
Nissan,Bluebird,W910,Wagon,1985,1986,,2.0,74,,RWD,DB1091,DB1094,,Std. 4-Wheel Disc - Girlock Caliper
Nissan,Bluebird,W910,Wagon,1985,1986,,2.0,74,,RWD,DB225,DB1094,,Std. 4-Wheel Disc
Nissan,Bluebird,"U13,U14",Sedan,1992,1997,i,2.4,112,,FWD,DB1232,DB1247,,Std. 4-Wheel Disc
Nissan,Bluebird 2000,"U13,U14",Sedan,1991,1996,Turbo,2.0,154,SSS,AWD,DB1167,DB1247,,Other Products
Nissan,Cabstar,"F22,H40",Platform/Chassis,1982,1987,,2.0,93,,RWD,DB424,,,Std. Brake System
Nissan,Cabstar,"F22,H40",Platform/Chassis,1987,1992,TD,2.7,66,,RWD,DB340,,,Other Products
Nissan,Caravan,E25,Bus,2000,2007,i,2.0,88,,RWD,DB1769,,,Other Products
Nissan,Caravan,E25,Van,2000,2007,i,2.0,88,,RWD,DB1769,,,Other Products
Nissan,Caravan,E25,Van,2001,2012,i,2.4,103,,RWD,DB1769,,,Other Products
Nissan,Caravan,E25,Van,2004,2012,TDi,3.0,96,,RWD,DB1769,,,Other Products
Nissan,Cefiro,A31,Sedan,1988,1994,,2.0,114,,RWD,DB1167,,,Other Products
Nissan,Cefiro,A31,Sedan,1988,1994,,2.0,151,,RWD,DB1232,,,Other Products
Nissan,Cima,F50,Sedan,2001,2010,,3.0,206,,RWD,DB1696,,,Other Products
Nissan,Cima,F50,Sedan,2001,2010,,4.5,250,,AWD,DB1696,,,Other Products
Nissan,Cima,F50,Sedan,2001,2010,,4.5,250,,RWD,DB1696,,,Other Products
Nissan,Cube,Z11,Hatchback,2003,2008,,1.4,72,,AWD,,,BS5116,Std. Front Disc / Rear 229mm Drum
Nissan,Cube,Z11,Hatchback,2003,2008,,1.4,72,,AWD,BR2326,,BS5116,Other Products
Nissan,Cube,Z11,Hatchback,2003,2008,,1.4,72,,FWD,BR2326,DB2340,,Other Products
Nissan,Cube,Z11,Hatchback,2003,2005,,1.5,80,,AWD,,,BS5116,Std. Front Disc / Rear 229mm Drum
Nissan,Cube,Z11,Hatchback,2003,2005,,1.5,80,,AWD,BR2326,,BS5116,Other Products
Nissan,Cube,Z12,Hatchback,2009,2014,dCi,1.5,78,,FWD,,DB2340,BS5257,Std. Front Disc / Rear Drum Brake
Nissan,Cube,Z12,Hatchback,2009,2014,dCi,1.5,78,,FWD,,DB2340,BS5257,Other Products
Nissan,Cube,Z11,Hatchback,2003,2008,,1.5,80,,FWD,BR2326,DB2340,,Other Products
Datsun,1000,B10,Coupe,1969,1970,,1.0,46,,RWD,,,BS1043,Other Products
Datsun,1000,B10,Sedan,1967,1970,,1.0,46,,RWD,,,BS1043,Other Products
Datsun,1000,VB10,Wagon,1967,1970,,1.0,46,,RWD,,,BS1043,Other Products
Datsun,1200,B110,Sedan,1970,1974,,1.2,51,,RWD,,,BS1043,Std. Brake System
Datsun,1200,B110,Wagon,1970,1974,,1.2,51,,RWD,,,BS1043,Std. Brake System
Datsun,1200,KB110,Coupe,1970,1974,,1.2,51,,RWD,DB39,,BS1043,Std. Brake System
Datsun,1600,510,Sedan,1968,1972,,1.6,72,,RWD,DB33,,,Std. Brake System
Datsun,240Z,S30,Coupe,1970,1974,,2.4,110,,RWD,DB86,,,Std. Brake System
Datsun,260C,330,Coupe,1975,1978,,2.6,103,,RWD,DB86,,,Std. Brake System
Datsun,260C,330,Wagon,1975,1978,,2.6,103,,RWD,DB86,,,Std. Brake System
Datsun,260Z,S30,Coupe,1974,1979,,2.6,119,2+2,RWD,DB86,,,Other Products
