make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Subaru,BRZ,Z1,Coupe,2012,2021,,2.0,147,,RWD,DB1491,DB1521,,Std. 4-Wheel Disc
Subaru,BRZ,Z1,Coupe,2012,2021,,2.0,147,,RWD,BR650,,,Other Products
Subaru,BRZ,Z1,Coupe,2012,2021,,2.0,147,,RWD,,DB1521,,Bendix Brake Upgrade Kits
Subaru,BRZ,Z1,Coupe,2016,2021,,2.0,152,,RWD,,DB1521,,Bendix Brake Upgrade Kits
Subaru,BRZ,Z1,Coupe,2016,2021,,2.0,152,,RWD,DB1678,DB1521,,Std. 4-Wheel Disc
Subaru,Crosstrek,GU,SUV,2023,,i,2.0,115,,AWD,DB2480,DB2398,,Std. 4-Wheel Disc
Subaru,Crosstrek,GU,SUV,2023,,i e-BOXER,2.0,110,,AWD,DB2480,DB2398,,Std. 4-Wheel Disc
Subaru,Fiori,,Hatchback,1989,1992,,0.8,31,,FWD,DB1160,,,Std. Front Disc / Rear Drum Brake
Subaru,Forester,SF,SUV,1997,2000,,2.0,90,,AWD,DB1342,DB1379,,Std. 4-Wheel Disc
Subaru,Forester,SF,SUV,1997,2000,,2.0,90,,AWD,BR648,DB1379,,Other Products
Subaru,Forester,SF,SUV,2000,2002,,2.0,92,,AWD,DB1170,DB1379,,Std. 4-Wheel Disc - Subaru Caliper
Subaru,Forester,SF,SUV,2000,2002,,2.0,92,,AWD,DB1342,DB1379,,Std. 4-Wheel Disc
Subaru,Forester,SF,SUV,2000,2002,,2.0,92,,AWD,BR648,DB1379,,Other Products
Subaru,Forester,"SG, S11SG",SUV,2002,2008,,2.0,92,,AWD,DB1491,DB1379,,Std. 4-Wheel Disc
Subaru,Forester,SH,SUV,2008,2013,D,2.0,108,,AWD,BR650,BR2659,,Other Products
Subaru,Forester,SH,SUV,2008,2013,D,2.0,108,,AWD,DB1491,DB1803,,Std. 4-Wheel Disc
Subaru,Forester,SJ,SUV,2013,2018,D,2.0,108,,AWD,DB1491,DB1789,,Std. 4-Wheel Disc
Subaru,Forester,SJ,SUV,2013,2018,D,2.0,108,,AWD,BR2650,BR2667,,Other Products
Subaru,Forester,SK,SUV,2018,,e-Boxer Hybrid,2.0,110,,AWD,DB2480,DB2398,,Std. 4-Wheel Disc
Subaru,Forester,SK,SUV,2018,,e-Boxer Hybrid,2.0,110,,AWD,BR6049,DB2398,,Other Products
Subaru,Forester,SJ,SUV,2013,2018,i,2.0,110,,AWD,BR650,BR2667,,Other Products
Subaru,Forester,SJ,SUV,2013,2018,i,2.0,110,,AWD,DB1491,DB1803,,Std. 4-Wheel Disc
Subaru,Forester,SF,SUV,1998,2000,Turbo,2.0,125,S,AWD,DB1342,DB1379,,Std. 4-Wheel Disc
Subaru,Forester,SF,SUV,1998,2000,Turbo,2.0,125,S,AWD,BR648,DB1379,,Other Products
Subaru,Forester,SF,SUV,2000,2002,Turbo,2.0,130,S,AWD,DB1170,DB1379,,Std. 4-Wheel Disc - Subaru Caliper
Subaru,Forester,SF,SUV,2000,2002,Turbo,2.0,130,S,AWD,DB1342,DB1379,,Std. 4-Wheel Disc
