make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Tesla,Model 3,,Sedan,2018,,EV,,258,,AWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2020,,EV,,366,,AWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2018,,EV,,340,Performance,AWD,DB2675,,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2019,,EV,,377,Performance,AWD,DB2675,,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2017,,EV,,192,,RWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2020,,EV,,202,,RWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2020,,EV,,208,,RWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model 3,,Sedan,2019,,EV,,220,,RWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2017,,,,310,100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2017,,,,386,100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2013,2014,,,225,60,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2014,,,,283,60,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2013,,,,285,60,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,285,70,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,245,70D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2016,,,,245,75D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2016,,,,386,75D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2012,2016,,,270,85,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2014,2016,,,310,85D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2014,2016,,,386,85D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,310,90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,386,90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2016,,,,450,P100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2016,,,,568,P100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2013,2014,,,310,P85,RWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2014,2016,,,515,P85D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,2016,,,568,P85D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,346,P90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,397,P90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model S,,Hatchback,2015,,,,568,P90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model X,,Hatchback,2017,,,,386,100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model X,,Hatchback,2016,,,,386,75D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model X,,Hatchback,2015,,,,386,90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model X,,Hatchback,2016,,,,568,P100D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model X,,Hatchback,2015,,,,568,P90D,AWD,DB1678,DB2260,,Std. 4-Wheel Disc
Tesla,Model Y,,SUV,2021,2025,EV,,393,Performance,AWD,DB2675,,,Std. 4-Wheel Disc
Tesla,Model Y,,SUV,2021,2025,EV,,220,,RWD,DB2674,DB2676,,Std. 4-Wheel Disc
Tesla,Model Y,,SUV,2021,2025,,,378,Long Range,AWD,DB2675,DB2676,,Other Products
