make,model,series,body,year_from,year_to,engine_code,engine_litres,engine_kw,trim_code,drivetrain,front_pads,rear_pads,park_brake_shoes,notes
Volkswagen,"1500,1600",31,Hatchback,1968,1973,,1.5,33,,RWD,DB2,,,Other Products
Volkswagen,"1500,1600",31,Sedan,1964,1973,,1.6,37,,RWD,DB2,,,Std. Front Disc / Rear Drum Brake
Volkswagen,"1500,1600",31,Hatchback,1965,1973,,1.6,40,,RWD,DB2,,,Std. Front Disc / Rear Drum Brake
Volkswagen,"1500,1600",31,Sedan,1965,1973,,1.6,40,,RWD,DB2,,,Std. Front Disc / Rear Drum Brake
Volkswagen,"1500,1600",31,Sedan,1965,1973,,1.6,40,,RWD,DB2,,,Std. Front Disc / Rear Drum Brake
Volkswagen,"1500,1600",36,Wagon,1965,1973,,1.6,40,,RWD,DB2,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2010,2012,BiTDI,2,120,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2011,2019,BiTDI,2,132,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2019,BiTDI 4motion,2,132,,AWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2012,2016,BiTDI,2,132,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2010,2012,BiTDI 4motion,2,120,,AWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2011,2022,BiTDI 4motion,2,132,,AWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2012,2013,TDI 4motion,2,90,,AWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2012,TDI 4motion,2,120,,AWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2012,2016,TDI,2,103,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2010,2013,TDI,2,90,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2016,TDI,2,103,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2012,TDI,2,120,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2013,TDI,2,90,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2016,2022,TDI 4motion,3,165,,AWD,DB2595,DB2596,,Std. 4-Wheel Disc
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2018,2022,TDI 4motion,3,190,,AWD,DB2595,DB2596,,Std. 4-Wheel Disc
Volkswagen,Amarok,"2HA, 2HB, S1B, S6B, S7A, S7B, AGD",Ute,2010,2016,TSI,2,118,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Amarok,"S1B, S6B, S7B",Platform/Chassis,2011,2016,TSI,2,118,,RWD,DB1915,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Arteon,"3H7, 3H8",Hatchback,2017,2021,TSI,2,140,,FWD,DB2383,DB2415,,Std. 4-Wheel Disc
Volkswagen,Beetle,"5C1, 5C2",Hatchback,2011,2016,TSI,1.4,118,,FWD,DB1405,DB2211,,Std. 4-Wheel Disc
Volkswagen,Arteon,3H9,Wagon,2021,,TSI 4motion,2,206,,AWD,DB2383,DB2415,,Std. 4-Wheel Disc
Volkswagen,Arteon,"3H7, 3H8",Hatchback,2017,2023,TSI 4motion,2,206,,AWD,DB2383,DB2415,,Std. 4-Wheel Disc
Volkswagen,Arteon,3H9,Wagon,2020,2021,TSI,2,140,,FWD,DB2383,DB2415,,Std. 4-Wheel Disc
Volkswagen,Beetle,"1302,1303/15",Convertible,1970,1979,,1.6,37,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1303,Sedan,1972,1976,,1.2,25,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1300,Sedan,1965,1975,,1.3,29,,RWD,DB23,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1300,Sedan,1970,1973,,1.3,32,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1303/15,Convertible,1970,1981,,1.3,32,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1Y7,Convertible,2003,2010,,1.6,75,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Beetle,"1303 LS, S",Sedan,1972,1979,,1.6,37,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1500,Sedan,1966,1973,,1.5,32,,RWD,DB23,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1303,Sedan,1972,1979,,1.6,35,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1303,Sedan,1972,1975,,1.3,32,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1303/15,Convertible,1970,1974,,1.6,35,,RWD,DB103,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Bora,"1J2, 9M2",Sedan,1998,2005,,1.6,74,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Bora,"1J2, 9M2",Sedan,1999,2005,,2,85,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Bora,"1J2, 9M2",Sedan,2000,2005,TDI,1.9,110,,FWD,DB1405,,,Std. 4-Wheel Disc
Volkswagen,Beetle,1500,Sedan,1970,1973,,1.6,37,,RWD,DB23,,,Std. Front Disc / Rear Drum Brake
Volkswagen,Beetle,1Y7,Convertible,2002,2010,,2,85,,FWD,DB1387,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2010,2015,TSI,1.2,63,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2010,2015,TSI,1.2,77,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Bora,"1J2, 9M2",Sedan,2001,2005,V6 4motion,2.8,150,,AWD,DB1492,,,Std. 4-Wheel Disc
Volkswagen,Bora,"1J2, 9M2",Sedan,1999,2005,,2.3,110,,FWD,DB1387,DB1192,,Std. 4-Wheel Disc
Volkswagen,Bora,"1J2, 9M2",Sedan,2000,2005,,2.3,125,,FWD,DB1387,,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SAA, SAH",Box Body/MPV,2015,2021,TSI,1.2,62,,FWD,DB2383,DB2626,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SAA, SAH",Box Body/MPV,2015,2021,TSI,1.4,92,,FWD,DB2383,DB2626,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SAB, SAJ",MPV,2015,2021,TSI,1.4,92,,FWD,DB2383,DB2626,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2004,2015,,1.6,75,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2005,2015,,1.6,75,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SBA, SBH",Box Body/MPV,2021,2024,TSI,1.5,84,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,Caddy,"SBB, SBJ",MPV,2021,2024,TSI,1.5,84,,FWD,DB2383,,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2010,2015,TDI,1.6,75,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2004,2010,TDI,1.9,77,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2004,2010,SDI,2,51,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2010,2015,TDI,1.6,75,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2005,2010,TDI,1.9,77,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2010,2015,TDI 16V 4motion,2,103,,AWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2010,2015,TDI 16V 4motion,2,103,,AWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2010,2015,TDI 16V,2,103,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KA, 2KH, 2CA, 2CH",Box Body/MPV,2010,2015,TDI 16V,2,103,,FWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,Caddy,"2KB, 2KJ, 2CB, 2CJ",MPV,2010,2015,TDI 4motion,2,81,,AWD,DB1405,DB1449,,Std. 4-Wheel Disc
Volkswagen,California,"7EC, 7EF, 7EG, 7HF, 7HC",Bus,2007,2009,TDI,1.9,75,,FWD,,,BS5099,
Volkswagen,California,"SGC, SGG, SHC",Bus,2015,2024,TDI 4motion,2,110,,AWD,,DB1956,,
Volkswagen,California,"SGC, SGG, SHC",Bus,2018,2024,TDI 4motion,2,146,,AWD,,DB1956,,
Volkswagen,Caddy,"SAA, SAH",Box Body/MPV,2015,2020,TDI,2,75,,FWD,DB2383,DB2626,,Std. 4-Wheel Disc
